game_nr,target,fixed indices,context condition,distractor,message,accuracy
20,[1. 1. 1. 0.],[0. 0. 1. 0.],0,[2. 2. 2. 3.],"[2, 2, 2]",0.793749988079071
21,[3. 3. 1. 2.],[0. 0. 1. 0.],0,[1. 2. 3. 0.],"[2, 2, 2]",0.793749988079071
22,[0. 0. 1. 0.],[0. 0. 1. 0.],0,[1. 3. 2. 3.],"[3, 4, 4]",0.793749988079071
23,[0. 3. 1. 1.],[0. 0. 1. 0.],0,[1. 1. 0. 0.],"[2, 2, 2]",0.793749988079071
24,[0. 0. 1. 1.],[0. 0. 1. 0.],0,[3. 0. 0. 2.],"[2, 2, 2]",0.793749988079071
25,[1. 3. 1. 0.],[0. 0. 1. 0.],0,[2. 2. 0. 2.],"[3, 4, 4]",0.793749988079071
26,[1. 1. 1. 3.],[0. 0. 1. 0.],0,[0. 3. 2. 3.],"[3, 4, 4]",0.793749988079071
27,[1. 3. 1. 2.],[0. 0. 1. 0.],0,[3. 1. 2. 1.],"[3, 1, 1, 1, 1, 4, 1]",0.7486327886581421
28,[0. 0. 1. 2.],[0. 0. 1. 0.],0,[3. 3. 2. 3.],"[3, 3, 4, 4, 4]",0.7447265982627869
29,[3. 3. 1. 0.],[0. 0. 1. 0.],0,[1. 3. 3. 2.],"[2, 2, 2]",0.793749988079071
