game_nr,message,targets,fixed indices,context condition,distractors,accuracy
2312,"[2, 2, 4, 2]",[2. 3. 3. 2.],[1. 0. 1. 1.],0,[0. 2. 1. 1.],0.9523581862449646
495,"[2, 2, 4, 3, 3, 3]",[2. 3. 3. 1.],[1. 1. 1. 0.],1,[3. 0. 3. 2.],0.949860692024231
2201,"[2, 4, 2, 2]",[3. 0. 3. 2.],[1. 0. 1. 1.],1,[3. 2. 2. 1.],0.9542344808578491
1548,"[2, 4, 2, 2]",[2. 2. 3. 2.],[1. 0. 1. 1.],2,[2. 2. 0. 2.],0.9515196681022644
2913,"[2, 4, 2, 2]",[1. 3. 3. 2.],[0. 0. 1. 1.],1,[2. 2. 3. 1.],0.9024760723114014
1432,"[2, 4, 4, 2, 1, 3]",[0. 2. 3. 2.],[0. 1. 1. 1.],0,[3. 3. 0. 3.],0.9518111944198608
361,"[3, 4, 4, 1]",[1. 2. 1. 3.],[0. 1. 0. 0.],0,[2. 0. 1. 3.],0.9099423289299011
2835,"[3, 4, 4, 1]",[2. 2. 1. 0.],[1. 1. 0. 1.],0,[1. 1. 2. 3.],0.9485368728637695
1678,"[3, 4, 4, 1]",[0. 2. 3. 0.],[0. 1. 0. 1.],1,[1. 1. 3. 0.],0.9569539427757263
2769,"[3, 4, 4, 1]",[3. 2. 0. 0.],[0. 1. 0. 0.],0,[3. 0. 0. 1.],0.8314266800880432
2650,"[3, 4, 4, 1]",[0. 2. 0. 0.],[1. 1. 0. 1.],0,[2. 0. 3. 1.],0.9690653681755066
2520,"[3, 4, 4, 1]",[3. 2. 2. 0.],[0. 1. 0. 1.],0,[1. 0. 3. 3.],0.9537004232406616
93,"[3, 4, 4, 2, 2]",[2. 2. 1. 3.],[1. 1. 0. 1.],1,[1. 1. 3. 3.],0.9873315691947937
3476,"[3, 4, 4, 2, 2]",[2. 2. 1. 3.],[1. 1. 0. 1.],2,[2. 2. 0. 0.],0.9632629752159119
1466,"[4, 4, 1, 2, 4, 2]",[1. 2. 1. 3.],[0. 1. 1. 1.],2,[2. 2. 3. 3.],0.9839980602264404
2502,"[4, 4, 4, 3]",[2. 2. 1. 0.],[1. 1. 1. 1.],1,[0. 0. 2. 0.],0.984748363494873
2183,"[4, 4, 4, 3]",[2. 2. 1. 1.],[1. 1. 1. 1.],2,[2. 2. 2. 3.],0.9059308171272278
2541,"[4, 4, 4, 3]",[2. 2. 1. 0.],[1. 1. 1. 1.],1,[0. 0. 1. 1.],0.9107859134674072
