game_nr,target,fixed indices,context condition,distractor,message,accuracy
920,[2. 2. 3. 3.],[1. 1. 1. 1.],0,[3. 3. 0. 1.],"[1, 3, 2, 3, 3]",0.7660156488418579
921,[2. 2. 3. 3.],[1. 1. 1. 1.],3,[2. 2. 2. 3.],"[3, 4, 3, 1]",0.7638671398162842
922,[2. 2. 3. 3.],[1. 1. 1. 1.],2,[2. 3. 3. 0.],"[1, 4, 3, 3, 3, 2, 3, 2, 2, 3]",0.7214844226837158
923,[2. 2. 3. 3.],[1. 1. 1. 1.],1,[2. 1. 1. 0.],"[1, 4, 2, 3]",0.7638671398162842
924,[2. 2. 3. 3.],[1. 1. 1. 1.],0,[1. 3. 2. 0.],"[1, 2, 3, 3]",0.7638671398162842
925,[2. 2. 3. 3.],[1. 1. 1. 1.],2,[0. 2. 0. 3.],"[1, 2, 3, 3]",0.7638671398162842
926,[2. 2. 3. 3.],[1. 1. 1. 1.],0,[3. 0. 2. 1.],"[1, 3, 2, 3, 3]",0.7660156488418579
927,[2. 2. 3. 3.],[1. 1. 1. 1.],2,[0. 1. 3. 3.],"[1, 2, 3, 3]",0.7638671398162842
928,[2. 2. 3. 3.],[1. 1. 1. 1.],1,[1. 2. 1. 0.],"[3, 1, 3, 2, 1, 3]",0.7718750238418579
929,[2. 2. 3. 3.],[1. 1. 1. 1.],3,[2. 0. 3. 3.],"[1, 4, 2, 3]",0.7638671398162842
