game_nr,message,targets,fixed indices,context condition,distractors,accuracy
3194,"[1, 1, 1, 1, 4, 4, 4, 4]",[3. 1. 1. 1.],[0. 1. 1. 1.],0,[0. 2. 3. 0.],0.9360980987548828
1471,"[2, 3, 2, 2, 2, 2]",[0. 0. 1. 1.],[1. 0. 1. 1.],2,[0. 2. 2. 1.],0.9063459634780884
2167,"[2, 3, 2, 2, 2, 2]",[0. 0. 1. 1.],[1. 0. 1. 1.],1,[0. 3. 3. 3.],0.9160244464874268
68,"[3, 1, 1, 4, 4, 4, 4]",[2. 2. 1. 1.],[1. 1. 1. 1.],2,[2. 0. 1. 0.],0.988828718662262
130,"[3, 1, 1, 4, 4, 4, 4]",[3. 2. 1. 1.],[1. 1. 1. 1.],1,[0. 1. 1. 2.],0.9810790419578552
2747,"[4, 4, 3, 1, 2, 1, 4, 4, 4, 4]",[1. 3. 1. 0.],[1. 1. 1. 1.],0,[3. 0. 2. 1.],0.9491040110588074
