game_nr,message,targets,fixed indices,context condition,distractors,accuracy
1314,"[1, 3, 1, 2]",[2. 1. 3. 1.],[1. 0. 1. 1.],0,[1. 3. 2. 0.],0.9373432397842407
3404,"[1, 3, 1, 2]",[2. 0. 3. 1.],[1. 1. 1. 1.],3,[2. 0. 3. 2.],0.907414436340332
628,"[3, 1, 1, 4, 2, 2]",[2. 2. 2. 1.],[1. 1. 0. 1.],1,[1. 1. 1. 1.],0.928195059299469
2059,"[3, 1, 1, 4, 2, 2]",[1. 2. 2. 1.],[0. 1. 0. 1.],1,[2. 2. 2. 0.],0.9709115624427795
91,"[3, 1, 1, 4, 4]",[2. 2. 3. 1.],[1. 1. 0. 1.],2,[2. 2. 0. 3.],0.9999978542327881
897,"[3, 1, 1, 4, 4]",[3. 2. 2. 1.],[0. 1. 1. 1.],2,[0. 2. 2. 3.],0.9925280213356018
671,"[3, 4, 1, 1, 3, 1, 1, 2, 1, 2]",[2. 0. 3. 3.],[1. 0. 1. 1.],1,[1. 1. 2. 3.],0.9994271397590637
1340,"[3, 4, 1, 4, 1, 2, 3, 2]",[0. 2. 1. 3.],[0. 0. 0. 1.],0,[0. 0. 2. 0.],0.9920475482940674
1118,"[3, 4, 4, 1, 1, 2, 3, 2]",[3. 3. 2. 3.],[0. 0. 0. 1.],0,[0. 0. 1. 2.],0.9572725296020508
2029,"[4, 4, 1, 1, 1]",[1. 3. 3. 1.],[1. 1. 1. 1.],2,[1. 1. 3. 3.],0.9930412173271179
