game_nr,message,targets,fixed indices,context condition,distractors,accuracy
544,"[3, 1, 3, 2, 3]",[3. 0. 0. 0.],[1. 1. 1. 1.],1,[3. 1. 3. 3.],0.8646737337112427
132,"[3, 2, 3, 2, 3, 2, 3]",[3. 1. 0. 3.],[1. 0. 1. 1.],2,[3. 2. 1. 3.],0.9575250744819641
297,"[3, 2, 3, 2, 3, 2, 3]",[3. 0. 0. 0.],[1. 0. 1. 1.],0,[2. 3. 1. 3.],0.9291028380393982
520,"[3, 2, 3, 2, 3, 2, 3]",[3. 0. 0. 2.],[1. 0. 1. 0.],1,[2. 2. 0. 0.],0.9224039316177368
286,"[4, 2, 4, 4, 4, 2, 4, 2]",[0. 3. 1. 0.],[1. 1. 1. 1.],1,[3. 1. 0. 0.],0.9666364192962646
35,"[4, 3, 4, 3, 4, 2, 4, 4, 4]",[3. 0. 1. 0.],[0. 1. 1. 1.],2,[3. 0. 1. 1.],0.9178467392921448
