game_nr,message,targets,fixed indices,context condition,distractors,accuracy
3436,"[1, 1, 1, 1, 1, 1, 3, 1, 4, 2]",[2. 1. 3. 0.],[0. 0. 1. 1.],0,[1. 1. 1. 3.],0.9390687346458435
674,"[1, 1, 1, 1, 2, 1, 3, 1]",[2. 0. 3. 0.],[1. 0. 1. 1.],1,[0. 3. 1. 0.],0.9445240497589111
834,"[1, 2, 1, 2, 1, 2, 2, 1]",[0. 2. 1. 0.],[1. 1. 0. 1.],1,[1. 0. 3. 0.],0.9715690612792969
1330,"[1, 3, 1, 1, 1, 4, 2, 4, 4, 1, 4, 2]",[3. 3. 3. 3.],[0. 0. 1. 1.],0,[2. 0. 1. 0.],0.9571594595909119
230,"[2, 1, 1, 1, 1, 1]",[2. 1. 3. 0.],[0. 1. 1. 1.],1,[0. 1. 2. 3.],0.9102779626846313
418,"[2, 1, 1, 1, 1, 1]",[2. 1. 3. 0.],[1. 1. 1. 1.],1,[1. 0. 1. 0.],0.9177539348602295
3642,"[2, 1, 1, 1, 1, 1, 1]",[1. 1. 3. 0.],[0. 1. 1. 1.],2,[0. 2. 3. 0.],0.9022281765937805
3711,"[2, 1, 1, 1, 1, 1, 1]",[0. 1. 3. 0.],[0. 1. 1. 1.],0,[0. 2. 2. 3.],0.8614361882209778
3712,"[2, 1, 1, 1, 1, 1, 1]",[1. 1. 3. 0.],[0. 1. 1. 1.],1,[3. 3. 3. 3.],0.8581590056419373
809,"[2, 1, 1, 1, 1, 1, 3, 4, 2, 3, 4]",[0. 0. 3. 3.],[0. 0. 1. 1.],0,[0. 2. 2. 0.],0.9698219895362854
1223,"[3, 1, 3, 1, 4, 2, 4, 4]",[3. 0. 2. 3.],[1. 1. 1. 1.],0,[1. 3. 3. 2.],0.9176863431930542
