game_nr,target,fixed indices,context condition,distractor,message,accuracy
920,[2. 2. 3. 3.],[1. 1. 1. 1.],0,[3. 3. 0. 1.],"[1, 1, 1, 1, 1, 1, 3, 1, 4, 2]",0.65625
921,[2. 2. 3. 3.],[1. 1. 1. 1.],3,[2. 2. 2. 3.],"[2, 1, 1, 1, 1, 1]",0.712890625
922,[2. 2. 3. 3.],[1. 1. 1. 1.],2,[2. 3. 3. 0.],"[3, 1, 3, 1, 4, 2, 4, 4]",0.6861327886581421
923,[2. 2. 3. 3.],[1. 1. 1. 1.],1,[2. 1. 1. 0.],"[1, 3, 1, 1, 1, 4, 2, 4, 4, 1, 4, 2]",0.668164074420929
924,[2. 2. 3. 3.],[1. 1. 1. 1.],0,[1. 3. 2. 0.],"[2, 1, 1, 1, 1, 1, 3, 4, 2, 3, 4]",0.6638672351837158
925,[2. 2. 3. 3.],[1. 1. 1. 1.],2,[0. 2. 0. 3.],"[2, 1, 1, 1, 1, 1, 1]",0.720507800579071
926,[2. 2. 3. 3.],[1. 1. 1. 1.],0,[3. 0. 2. 1.],"[2, 1, 1, 1, 1, 1, 3, 4, 2, 3, 4]",0.6638672351837158
927,[2. 2. 3. 3.],[1. 1. 1. 1.],2,[0. 1. 3. 3.],"[1, 1, 1, 1, 2, 1, 3, 1]",0.6861327886581421
928,[2. 2. 3. 3.],[1. 1. 1. 1.],1,[1. 2. 1. 0.],"[2, 1, 1, 1, 1, 1, 3, 4, 2, 3, 4]",0.6638672351837158
929,[2. 2. 3. 3.],[1. 1. 1. 1.],3,[2. 0. 3. 3.],"[1, 2, 1, 2, 1, 2, 2, 1]",0.6861327886581421
