game_nr,target,fixed indices,context condition,distractor,message,accuracy
920,[2. 2. 3. 3.],[1. 1. 1. 1.],0,[3. 3. 0. 1.],"[3, 4, 4, 2, 2]",0.8154296875
921,[2. 2. 3. 3.],[1. 1. 1. 1.],3,[2. 2. 2. 3.],"[2, 2, 4, 2]",0.8021484613418579
922,[2. 2. 3. 3.],[1. 1. 1. 1.],2,[2. 3. 3. 0.],"[4, 4, 1, 2, 4, 2]",0.8109375238418579
923,[2. 2. 3. 3.],[1. 1. 1. 1.],1,[2. 1. 1. 0.],"[2, 4, 4, 2, 1, 3]",0.8109375238418579
924,[2. 2. 3. 3.],[1. 1. 1. 1.],0,[1. 3. 2. 0.],"[3, 4, 4, 2, 2]",0.8154296875
925,[2. 2. 3. 3.],[1. 1. 1. 1.],2,[0. 2. 0. 3.],"[2, 4, 2, 2]",0.8021484613418579
926,[2. 2. 3. 3.],[1. 1. 1. 1.],0,[3. 0. 2. 1.],"[3, 4, 4, 2, 2]",0.8154296875
927,[2. 2. 3. 3.],[1. 1. 1. 1.],2,[0. 1. 3. 3.],"[4, 4, 4, 3]",0.8021484613418579
928,[2. 2. 3. 3.],[1. 1. 1. 1.],1,[1. 2. 1. 0.],"[2, 2, 4, 3, 3, 3]",0.8109375238418579
929,[2. 2. 3. 3.],[1. 1. 1. 1.],3,[2. 0. 3. 3.],"[3, 4, 4, 1]",0.8021484613418579
