game_nr,message,targets,fixed indices,context condition,distractors,accuracy
2446,"[2, 2, 4, 4, 2]",[2. 2. 2. 3.],[1. 1. 1. 1.],1,[2. 1. 3. 0.],0.960224449634552
390,"[2, 2, 4, 4, 2]",[3. 2. 2. 3.],[0. 1. 1. 1.],2,[0. 2. 3. 3.],0.9496626257896423
2133,"[2, 2, 4, 4, 2]",[2. 2. 2. 3.],[1. 1. 1. 1.],3,[2. 1. 2. 3.],0.9544672966003418
2076,"[2, 2, 4, 4, 4]",[2. 2. 2. 0.],[1. 1. 1. 0.],0,[3. 3. 1. 2.],0.9894934892654419
3213,"[2, 2, 4, 4, 4]",[3. 2. 2. 1.],[1. 1. 1. 1.],3,[3. 1. 2. 1.],0.9630622267723083
1880,"[2, 2, 4, 4, 4]",[3. 2. 2. 1.],[1. 1. 1. 1.],1,[3. 3. 0. 0.],0.9427064657211304
1732,"[2, 2, 4, 4, 4]",[2. 2. 2. 2.],[1. 1. 1. 0.],1,[3. 1. 2. 2.],0.9881821274757385
1586,"[2, 2, 4, 4, 4]",[3. 2. 2. 1.],[1. 1. 1. 1.],0,[2. 1. 0. 3.],0.941305935382843
1069,"[2, 2, 4, 4, 4]",[2. 2. 2. 3.],[1. 1. 1. 0.],1,[2. 0. 1. 1.],0.9992073178291321
991,"[2, 2, 4, 4, 4]",[2. 2. 2. 0.],[1. 1. 1. 0.],0,[0. 1. 0. 2.],0.973781943321228
1558,"[2, 2, 4, 4, 4]",[3. 2. 2. 1.],[1. 1. 1. 1.],0,[1. 3. 1. 0.],0.8863677978515625
670,"[2, 2, 4, 4, 4]",[3. 2. 2. 0.],[1. 1. 1. 1.],1,[1. 1. 1. 0.],0.9915004372596741
681,"[2, 2, 4, 4, 4]",[3. 2. 2. 1.],[1. 1. 1. 1.],3,[3. 2. 1. 1.],0.9813656806945801
3693,"[2, 4, 2, 2, 4, 2]",[2. 2. 0. 3.],[1. 1. 1. 1.],2,[3. 0. 0. 3.],0.9607070684432983
3597,"[2, 4, 2, 2, 4, 2]",[1. 2. 0. 3.],[1. 1. 0. 1.],0,[0. 0. 1. 1.],0.983796238899231
666,"[2, 4, 2, 2, 4, 2]",[2. 2. 0. 3.],[1. 1. 1. 1.],1,[0. 3. 1. 3.],0.9814735054969788
432,"[2, 4, 2, 2, 4, 2]",[3. 2. 0. 3.],[0. 1. 1. 1.],2,[0. 0. 0. 3.],0.9520800113677979
1735,"[2, 4, 2, 2, 4, 2]",[2. 2. 0. 3.],[1. 1. 1. 1.],2,[1. 3. 0. 3.],0.9848162531852722
1693,"[2, 4, 2, 2, 4, 2]",[1. 2. 0. 3.],[0. 1. 1. 1.],1,[2. 2. 1. 2.],0.9997839331626892
1461,"[2, 4, 2, 2, 4, 2]",[2. 2. 0. 3.],[1. 1. 1. 1.],2,[2. 3. 1. 3.],0.9808362126350403
763,"[2, 4, 2, 2, 4, 2]",[2. 2. 0. 3.],[0. 1. 1. 1.],2,[1. 0. 0. 3.],0.9450596570968628
3568,"[2, 4, 2, 2, 4, 2]",[2. 2. 0. 3.],[1. 1. 1. 1.],3,[2. 2. 3. 3.],0.963468611240387
2622,"[2, 4, 2, 2, 4, 2]",[0. 2. 0. 3.],[0. 1. 1. 1.],0,[2. 1. 3. 1.],0.982809841632843
542,"[2, 4, 2, 2, 4, 2]",[1. 2. 3. 3.],[1. 1. 1. 1.],2,[3. 1. 3. 3.],0.9803252220153809
3182,"[3, 2, 2, 4, 4, 2]",[2. 2. 2. 2.],[1. 1. 0. 1.],1,[2. 0. 0. 3.],0.95997154712677
3327,"[3, 2, 2, 4, 4, 2, 4]",[2. 2. 1. 2.],[1. 1. 1. 1.],0,[0. 3. 3. 3.],0.9974830150604248
2998,"[3, 2, 4, 2]",[2. 1. 2. 3.],[1. 1. 1. 1.],0,[1. 3. 0. 2.],0.9871062636375427
3107,"[3, 2, 4, 2]",[2. 1. 1. 2.],[1. 1. 1. 0.],2,[2. 1. 2. 0.],0.9494604468345642
2784,"[3, 2, 4, 2]",[2. 1. 3. 3.],[1. 1. 1. 1.],2,[3. 2. 3. 3.],0.9518309235572815
3443,"[3, 2, 4, 2]",[2. 1. 3. 3.],[1. 1. 1. 1.],2,[2. 3. 0. 3.],0.9653761982917786
3535,"[3, 2, 4, 2]",[2. 1. 0. 3.],[1. 1. 0. 1.],2,[2. 1. 2. 1.],0.9594171643257141
3381,"[3, 2, 4, 2]",[2. 1. 3. 3.],[1. 1. 1. 1.],1,[3. 0. 0. 3.],0.9999851584434509
3386,"[3, 2, 4, 2]",[2. 1. 2. 3.],[1. 1. 1. 1.],3,[3. 1. 2. 3.],0.9998883605003357
3429,"[3, 2, 4, 2]",[2. 1. 0. 3.],[1. 1. 0. 1.],0,[1. 3. 3. 0.],0.9944306015968323
