game_nr,target,fixed indices,context condition,distractor,message,accuracy
20,[1. 1. 1. 0.],[0. 0. 1. 0.],0,[2. 2. 2. 3.],"[2, 3, 2, 2, 2, 2]",0.7820312976837158
21,[3. 3. 1. 2.],[0. 0. 1. 0.],0,[1. 2. 3. 0.],"[3, 1, 1, 4, 4, 4, 4]",0.7718750238418579
22,[0. 0. 1. 0.],[0. 0. 1. 0.],0,[1. 3. 2. 3.],"[2, 3, 2, 2, 2, 2]",0.7820312976837158
23,[0. 3. 1. 1.],[0. 0. 1. 0.],0,[1. 1. 0. 0.],"[2, 3, 2, 2, 2, 2]",0.7820312976837158
24,[0. 0. 1. 1.],[0. 0. 1. 0.],0,[3. 0. 0. 2.],"[2, 3, 2, 2, 2, 2]",0.7820312976837158
25,[1. 3. 1. 0.],[0. 0. 1. 0.],0,[2. 2. 0. 2.],"[2, 3, 2, 2, 2, 2]",0.7820312976837158
26,[1. 1. 1. 3.],[0. 0. 1. 0.],0,[0. 3. 2. 3.],"[1, 1, 1, 1, 4, 4, 4, 4]",0.7605469226837158
27,[1. 3. 1. 2.],[0. 0. 1. 0.],0,[3. 1. 2. 1.],"[4, 4, 3, 1, 2, 1, 4, 4, 4, 4]",0.7589843273162842
28,[0. 0. 1. 2.],[0. 0. 1. 0.],0,[3. 3. 2. 3.],"[2, 3, 2, 2, 2, 2]",0.7820312976837158
29,[3. 3. 1. 0.],[0. 0. 1. 0.],0,[1. 3. 3. 2.],"[2, 3, 2, 2, 2, 2]",0.7820312976837158
