game_nr,message,targets,fixed indices,context condition,distractors,accuracy
809,"[1, 2, 3, 3]",[2. 2. 3. 3.],[1. 1. 1. 0.],2,[2. 2. 2. 2.],0.8489356637001038
2358,"[1, 3, 2, 3, 3]",[2. 2. 3. 2.],[1. 1. 1. 0.],0,[3. 0. 2. 3.],0.8856750130653381
795,"[1, 4, 2, 3]",[2. 2. 3. 2.],[0. 1. 1. 0.],1,[0. 2. 2. 0.],0.946720540523529
1472,"[1, 4, 3, 3, 3, 2, 3, 2, 2, 3]",[3. 2. 3. 1.],[0. 1. 1. 0.],1,[2. 1. 3. 1.],0.9993383288383484
174,"[3, 1, 3, 2, 1, 3]",[2. 3. 3. 3.],[1. 1. 1. 1.],3,[2. 3. 3. 0.],0.9814432263374329
507,"[3, 1, 3, 2, 1, 3]",[2. 3. 3. 3.],[1. 1. 1. 1.],3,[3. 3. 3. 3.],0.9758508205413818
934,"[3, 4, 3, 1]",[0. 0. 3. 2.],[0. 0. 1. 1.],1,[2. 0. 2. 2.],0.9332144856452942
