game_nr,target,fixed indices,context condition,distractor,message,accuracy
20,[1. 1. 1. 0.],[0. 0. 1. 0.],0,[2. 2. 2. 3.],"[3, 1, 3, 2, 3]",0.662890613079071
21,[3. 3. 1. 2.],[0. 0. 1. 0.],0,[1. 2. 3. 0.],"[3, 2, 3, 2, 3, 2, 3]",0.6462891101837158
22,[0. 0. 1. 0.],[0. 0. 1. 0.],0,[1. 3. 2. 3.],"[4, 2, 4, 4, 4, 2, 4, 2]",0.6447265148162842
23,[0. 3. 1. 1.],[0. 0. 1. 0.],0,[1. 1. 0. 0.],"[4, 3, 4, 3, 4, 2, 4, 4, 4]",0.63671875
24,[0. 0. 1. 1.],[0. 0. 1. 0.],0,[3. 0. 0. 2.],"[4, 3, 4, 3, 4, 2, 4, 4, 4]",0.63671875
25,[1. 3. 1. 0.],[0. 0. 1. 0.],0,[2. 2. 0. 2.],"[4, 2, 4, 4, 4, 2, 4, 2]",0.6447265148162842
26,[1. 1. 1. 3.],[0. 0. 1. 0.],0,[0. 3. 2. 3.],"[3, 1, 3, 2, 3]",0.662890613079071
27,[1. 3. 1. 2.],[0. 0. 1. 0.],0,[3. 1. 2. 1.],"[3, 1, 3, 2, 3]",0.662890613079071
28,[0. 0. 1. 2.],[0. 0. 1. 0.],0,[3. 3. 2. 3.],"[3, 2, 3, 2, 3, 2, 3]",0.6462891101837158
29,[3. 3. 1. 0.],[0. 0. 1. 0.],0,[1. 3. 3. 2.],"[3, 2, 3, 2, 3, 2, 3]",0.6462891101837158
