game_nr,message,targets,fixed indices,context condition,distractors,accuracy
294,"[4, 4]",[0. 2. 1.],[1. 1. 1.],1,[3. 2. 2.],0.9993724822998047
80,"[4, 4]",[3. 2. 1.],[1. 1. 1.],2,[3. 2. 0.],0.9999761581420898
653,"[4, 4]",[2. 2. 1.],[1. 0. 1.],0,[0. 2. 3.],0.9999676942825317
149,"[4, 4]",[0. 2. 1.],[1. 1. 1.],0,[3. 1. 0.],0.9999682307243347
426,"[4, 4]",[2. 1. 1.],[1. 1. 1.],1,[3. 1. 2.],0.999996542930603
255,"[4, 4]",[0. 2. 1.],[1. 1. 1.],1,[3. 2. 3.],0.9966555833816528
298,"[4, 4]",[0. 2. 1.],[1. 1. 1.],2,[0. 2. 3.],0.9999885559082031
231,"[4, 4]",[1. 3. 1.],[0. 1. 1.],0,[3. 0. 0.],0.9999943971633911
394,"[4, 4, 4]",[3. 2. 1.],[1. 1. 1.],1,[3. 3. 0.],0.9999995231628418
397,"[4, 4, 4]",[3. 2. 1.],[1. 0. 1.],1,[3. 2. 2.],0.9999998211860657
420,"[4, 4, 4]",[2. 3. 1.],[1. 1. 1.],1,[2. 2. 2.],0.9999999403953552
503,"[4, 4, 4]",[3. 0. 1.],[1. 1. 1.],2,[3. 0. 2.],0.9999999403953552
510,"[4, 4, 4]",[1. 1. 1.],[1. 0. 1.],0,[3. 0. 3.],0.999999463558197
540,"[4, 4, 4]",[3. 1. 1.],[0. 1. 1.],0,[0. 0. 2.],0.9999982714653015
52,"[4, 4, 4]",[0. 0. 1.],[1. 0. 1.],1,[0. 0. 3.],0.9999982118606567
587,"[4, 4, 4]",[1. 2. 1.],[1. 1. 1.],0,[3. 1. 2.],0.9999640583992004
594,"[4, 4, 4]",[3. 3. 1.],[0. 1. 1.],0,[1. 1. 0.],0.9937344789505005
598,"[4, 4, 4]",[2. 1. 1.],[1. 0. 1.],0,[3. 1. 0.],0.9937427639961243
628,"[4, 4, 4]",[3. 2. 1.],[1. 1. 1.],1,[3. 1. 3.],0.9762511849403381
669,"[4, 4, 4]",[1. 0. 1.],[1. 0. 1.],0,[3. 1. 3.],0.9564833641052246
671,"[4, 4, 4]",[0. 1. 1.],[1. 1. 1.],1,[0. 2. 0.],0.9572141766548157
676,"[4, 4, 4]",[1. 3. 1.],[1. 0. 1.],1,[1. 2. 2.],0.9968026876449585
553,"[4, 4, 4]",[1. 0. 1.],[1. 0. 1.],0,[3. 1. 0.],0.9999790191650391
584,"[4, 4, 4]",[2. 3. 1.],[1. 1. 1.],1,[2. 1. 3.],0.9999991655349731
284,"[4, 4, 4]",[3. 1. 1.],[1. 1. 1.],2,[3. 1. 2.],0.9687499403953552
706,"[4, 4, 4]",[1. 2. 1.],[1. 1. 1.],0,[3. 3. 3.],0.9999335408210754
101,"[4, 4, 4]",[1. 2. 1.],[1. 1. 1.],0,[2. 3. 3.],0.9253062009811401
104,"[4, 4, 4]",[1. 2. 1.],[1. 1. 1.],0,[2. 3. 2.],0.9265248775482178
137,"[4, 4, 4]",[1. 1. 1.],[1. 0. 1.],0,[3. 0. 0.],0.9999814629554749
147,"[4, 4, 4]",[3. 1. 1.],[1. 1. 1.],0,[1. 2. 2.],0.9999999403953552
162,"[4, 4, 4]",[1. 3. 1.],[0. 1. 1.],1,[2. 3. 2.],0.9999995231628418
176,"[4, 4, 4]",[0. 2. 1.],[1. 0. 1.],0,[2. 2. 3.],0.9999942779541016
177,"[4, 4, 4]",[1. 1. 1.],[1. 0. 1.],0,[3. 3. 2.],0.9999999403953552
290,"[4, 4, 4]",[2. 2. 1.],[0. 1. 1.],1,[1. 2. 0.],0.9999921321868896
179,"[4, 4, 4]",[0. 3. 1.],[0. 1. 1.],0,[3. 0. 2.],1.0
199,"[4, 4, 4]",[2. 2. 1.],[1. 0. 1.],0,[1. 0. 0.],0.9993844032287598
242,"[4, 4, 4]",[1. 1. 1.],[1. 1. 1.],0,[0. 0. 2.],0.9968421459197998
250,"[4, 4, 4]",[3. 0. 1.],[1. 0. 1.],1,[3. 2. 0.],0.9968750476837158
251,"[4, 4, 4]",[1. 1. 1.],[1. 1. 1.],1,[1. 2. 0.],0.9968495965003967
262,"[4, 4, 4]",[3. 2. 1.],[1. 1. 1.],1,[1. 2. 3.],0.9570416808128357
264,"[4, 4, 4]",[0. 2. 1.],[1. 1. 1.],1,[2. 2. 3.],0.9466314911842346
276,"[4, 4, 4]",[0. 2. 1.],[1. 1. 1.],2,[0. 2. 3.],0.9687491655349731
193,"[4, 4, 4]",[3. 0. 1.],[1. 1. 1.],2,[3. 0. 2.],0.9965816736221313
722,"[4, 4, 4]",[1. 1. 1.],[0. 1. 1.],1,[3. 1. 2.],0.9636892676353455
