game_nr,message,targets,fixed indices,context condition,distractors,accuracy
39,"[4, 4, 4]",[2. 2. 1.],[0. 1. 1.],1,[1. 2. 0.],0.9999982118606567
482,"[4, 4, 4]",[0. 0. 1.],[1. 1. 1.],1,[3. 0. 3.],0.999998152256012
501,"[4, 4, 4]",[0. 1. 1.],[0. 1. 1.],0,[0. 3. 2.],0.9999889731407166
515,"[4, 4, 4]",[1. 1. 1.],[1. 1. 1.],2,[1. 1. 2.],0.9999958872795105
520,"[4, 4, 4]",[3. 2. 1.],[1. 1. 1.],1,[3. 1. 3.],0.9999964237213135
526,"[4, 4, 4]",[0. 1. 1.],[1. 1. 1.],0,[1. 2. 2.],0.9999762773513794
530,"[4, 4, 4]",[3. 1. 1.],[1. 1. 1.],0,[2. 0. 3.],0.9999943375587463
535,"[4, 4, 4]",[3. 3. 1.],[1. 1. 1.],2,[3. 3. 3.],0.9999961256980896
542,"[4, 4, 4]",[3. 1. 1.],[0. 1. 1.],0,[0. 2. 2.],0.999994695186615
547,"[4, 4, 4]",[1. 3. 1.],[1. 0. 1.],1,[1. 2. 2.],0.9999884366989136
562,"[4, 4, 4]",[1. 1. 1.],[0. 1. 1.],1,[3. 1. 2.],0.9999990463256836
578,"[4, 4, 4]",[1. 0. 1.],[1. 0. 1.],0,[3. 1. 0.],0.9999902844429016
592,"[4, 4, 4]",[1. 0. 1.],[1. 0. 1.],1,[1. 0. 2.],0.999998927116394
610,"[4, 4, 4]",[3. 2. 1.],[0. 1. 1.],0,[3. 1. 3.],0.9999991059303284
625,"[4, 4, 4]",[3. 0. 1.],[1. 0. 1.],1,[3. 0. 2.],0.9999989867210388
631,"[4, 4, 4]",[3. 1. 1.],[1. 1. 1.],2,[3. 1. 2.],0.999954342842102
649,"[4, 4, 4]",[2. 1. 1.],[0. 1. 1.],1,[2. 1. 2.],0.9999925494194031
652,"[4, 4, 4]",[0. 0. 1.],[1. 0. 1.],1,[0. 0. 3.],0.999998152256012
678,"[4, 4, 4]",[3. 2. 1.],[1. 1. 1.],1,[3. 3. 0.],0.999995231628418
693,"[4, 4, 4]",[1. 0. 1.],[1. 1. 1.],2,[1. 0. 3.],0.9999973177909851
713,"[4, 4, 4]",[3. 2. 1.],[1. 1. 1.],1,[3. 3. 0.],0.9999733567237854
722,"[4, 4, 4]",[0. 1. 0.],[1. 1. 1.],0,[1. 2. 1.],0.9999783635139465
476,"[4, 4, 4]",[1. 1. 1.],[1. 1. 1.],0,[0. 0. 2.],0.9999974966049194
458,"[4, 4, 4]",[0. 2. 1.],[1. 1. 1.],0,[1. 0. 0.],0.9999997019767761
447,"[4, 4, 4]",[0. 1. 1.],[1. 1. 1.],0,[1. 3. 3.],0.999998927116394
445,"[4, 4, 4]",[3. 0. 1.],[1. 0. 1.],1,[3. 2. 0.],0.9999998807907104
88,"[4, 4, 4]",[1. 1. 1.],[1. 0. 1.],0,[3. 0. 0.],0.9999996423721313
107,"[4, 4, 4]",[3. 2. 1.],[1. 1. 1.],1,[1. 2. 3.],0.9999993443489075
129,"[4, 4, 4]",[3. 3. 1.],[1. 0. 1.],0,[1. 0. 0.],0.9999950528144836
175,"[4, 4, 4]",[1. 1. 1.],[0. 1. 1.],1,[0. 1. 0.],0.9999977350234985
196,"[4, 4, 4]",[3. 0. 1.],[1. 1. 1.],1,[0. 0. 0.],0.9999887347221375
210,"[4, 4, 4]",[3. 2. 1.],[1. 1. 1.],1,[3. 1. 3.],0.9999964833259583
239,"[4, 4, 4]",[1. 1. 1.],[1. 1. 1.],1,[1. 2. 0.],0.9999976754188538
244,"[4, 4, 4]",[2. 0. 1.],[0. 1. 1.],1,[3. 0. 2.],0.9999993443489075
248,"[4, 4, 4]",[1. 2. 1.],[1. 1. 1.],0,[2. 3. 3.],0.9999995231628418
259,"[4, 4, 4]",[1. 1. 1.],[1. 0. 1.],0,[3. 3. 2.],0.9999945759773254
724,"[4, 4, 4]",[3. 2. 1.],[1. 1. 1.],2,[3. 2. 0.],0.9999993443489075
288,"[4, 4, 4]",[0. 2. 1.],[1. 1. 1.],0,[3. 1. 0.],0.9999873638153076
310,"[4, 4, 4]",[0. 2. 1.],[1. 1. 1.],2,[0. 2. 3.],0.9999996423721313
332,"[4, 4, 4]",[1. 3. 1.],[1. 0. 1.],1,[1. 2. 0.],0.9999988675117493
334,"[4, 4, 4]",[3. 0. 1.],[0. 1. 1.],1,[3. 0. 2.],0.9999851584434509
347,"[4, 4, 4]",[0. 1. 1.],[1. 1. 1.],0,[3. 3. 0.],0.9999958872795105
375,"[4, 4, 4]",[0. 1. 1.],[1. 1. 1.],1,[0. 2. 0.],0.9999272227287292
379,"[4, 4, 4]",[2. 1. 1.],[1. 1. 1.],1,[3. 1. 2.],0.9999942183494568
400,"[4, 4, 4]",[3. 1. 1.],[1. 1. 1.],0,[0. 2. 2.],0.9999849796295166
411,"[4, 4, 4]",[0. 1. 1.],[1. 0. 1.],0,[2. 0. 2.],0.9999996423721313
429,"[4, 4, 4]",[1. 2. 1.],[1. 1. 1.],0,[2. 3. 2.],0.9999982118606567
436,"[4, 4, 4]",[1. 2. 1.],[1. 1. 1.],0,[3. 3. 3.],0.9999892115592957
308,"[4, 4, 4]",[0. 2. 1.],[1. 1. 1.],1,[2. 2. 3.],0.9999979734420776
737,"[4, 4, 4]",[3. 0. 1.],[1. 1. 1.],2,[3. 0. 2.],0.9999996423721313
