game_nr,message,targets,fixed indices,context condition,distractors,accuracy
10,[2],[2. 2. 1.],[1. 0. 0.],0,[0. 3. 2.],0.9216484427452087
433,[2],[2. 3. 0.],[1. 1. 1.],0,[3. 0. 2.],0.9688728451728821
430,[2],[2. 3. 3.],[1. 1. 1.],1,[3. 1. 3.],0.8779845833778381
424,[2],[2. 3. 1.],[1. 1. 1.],0,[0. 1. 0.],0.8780904412269592
412,[2],[2. 0. 0.],[1. 0. 1.],0,[0. 0. 3.],0.9899250268936157
395,[2],[2. 3. 1.],[1. 1. 0.],1,[3. 3. 1.],0.9532777070999146
392,[2],[2. 1. 1.],[1. 1. 1.],1,[3. 2. 1.],0.9532915949821472
444,[2],[2. 3. 0.],[1. 1. 1.],1,[1. 3. 1.],0.9686644077301025
380,[2],[2. 3. 0.],[1. 1. 1.],0,[3. 2. 1.],0.9870876669883728
365,[2],[2. 3. 1.],[1. 1. 0.],1,[0. 3. 1.],0.9250292778015137
708,[2],[2. 1. 1.],[1. 1. 0.],0,[0. 3. 0.],0.9262529015541077
359,[2],[2. 0. 0.],[1. 0. 1.],0,[3. 1. 3.],0.9247273206710815
329,[2],[2. 2. 3.],[1. 1. 1.],2,[0. 2. 3.],0.9373726844787598
320,[2],[2. 3. 0.],[1. 1. 0.],1,[2. 1. 2.],0.9378281831741333
317,[2],[2. 1. 0.],[1. 0. 1.],1,[1. 3. 0.],0.9759336709976196
372,[2],[2. 1. 1.],[1. 0. 1.],0,[3. 1. 0.],0.993310809135437
448,[2],[2. 3. 0.],[1. 1. 1.],2,[3. 3. 0.],0.9820142984390259
460,[2],[2. 2. 1.],[1. 0. 1.],0,[0. 2. 3.],0.9759159088134766
474,[2],[2. 1. 0.],[1. 1. 0.],0,[3. 2. 3.],0.9995375871658325
707,[2],[2. 0. 1.],[1. 1. 0.],1,[0. 0. 3.],0.9280322194099426
697,[2],[2. 1. 3.],[1. 1. 0.],1,[0. 1. 0.],0.999067485332489
694,[2],[2. 3. 3.],[1. 1. 1.],2,[0. 3. 3.],0.9994606971740723
681,[2],[2. 3. 2.],[1. 1. 0.],1,[0. 3. 2.],0.9527217149734497
676,[2],[2. 1. 2.],[1. 0. 0.],0,[1. 1. 1.],0.9529216885566711
663,[2],[2. 2. 3.],[1. 1. 1.],1,[1. 3. 3.],0.9565202593803406
653,[2],[2. 1. 3.],[1. 0. 0.],0,[1. 0. 0.],0.9562064409255981
643,[2],[2. 1. 1.],[1. 1. 1.],1,[3. 1. 2.],0.9511005878448486
642,[2],[2. 3. 0.],[1. 1. 1.],0,[3. 2. 2.],0.9471834897994995
603,[2],[2. 3. 0.],[1. 0. 1.],0,[1. 2. 1.],0.9561743140220642
598,[2],[2. 3. 3.],[1. 0. 0.],0,[3. 3. 2.],0.9583435654640198
577,[2],[2. 1. 3.],[1. 1. 1.],2,[1. 1. 3.],0.9416819214820862
564,[2],[2. 2. 0.],[1. 0. 1.],1,[3. 1. 0.],0.9723659157752991
541,[2],[2. 0. 0.],[1. 0. 1.],0,[1. 1. 3.],0.9999706149101257
487,[2],[2. 3. 1.],[1. 1. 1.],2,[1. 3. 1.],0.9778549671173096
309,[2],[2. 3. 1.],[1. 1. 0.],1,[3. 3. 2.],0.9778881669044495
304,[2],[2. 3. 1.],[1. 1. 1.],1,[3. 2. 1.],0.9783467650413513
360,[2],[2. 0. 1.],[1. 1. 1.],0,[0. 1. 3.],0.9426650404930115
285,[2],[2. 1. 1.],[1. 0. 0.],0,[3. 1. 2.],0.9591941237449646
52,[2],[2. 3. 2.],[1. 1. 0.],1,[0. 3. 1.],0.9595507383346558
78,[2],[2. 0. 3.],[1. 1. 0.],1,[0. 0. 0.],0.9874826073646545
79,[2],[2. 0. 1.],[1. 1. 1.],2,[0. 0. 1.],0.9875903725624084
108,[2],[2. 1. 1.],[1. 0. 0.],0,[1. 1. 0.],0.9905819892883301
118,[2],[2. 3. 3.],[1. 1. 1.],2,[3. 3. 3.],0.9592429399490356
296,[2],[2. 2. 3.],[1. 1. 1.],1,[3. 3. 3.],0.9806331396102905
124,[2],[2. 3. 3.],[1. 1. 1.],2,[0. 3. 3.],0.9593538641929626
129,[2],[2. 0. 1.],[1. 0. 1.],1,[3. 1. 1.],0.9868656396865845
187,[2],[2. 3. 3.],[1. 0. 0.],0,[3. 3. 3.],0.979507565498352
223,[2],[2. 0. 1.],[1. 1. 1.],2,[1. 0. 1.],0.9969100952148438
235,[2],[2. 3. 0.],[1. 1. 0.],0,[1. 2. 1.],0.968742311000824
238,[2],[2. 1. 3.],[1. 1. 1.],2,[1. 1. 3.],0.9685724377632141
710,[2],[2. 1. 1.],[1. 1. 1.],2,[3. 1. 1.],0.9257340431213379
267,[2],[2. 1. 1.],[1. 1. 0.],1,[1. 1. 1.],0.9622913002967834
280,[2],[2. 0. 1.],[1. 0. 1.],1,[0. 3. 1.],0.9588087201118469
276,[2],[2. 3. 0.],[1. 0. 1.],1,[2. 2. 1.],0.9415616393089294
270,[2],[2. 3. 0.],[1. 1. 1.],1,[0. 3. 1.],0.9615082740783691
241,[3],[0. 0. 1.],[1. 1. 1.],0,[2. 2. 2.],0.9845836162567139
98,[3],[0. 0. 3.],[1. 1. 1.],1,[2. 1. 3.],0.9940760135650635
90,[3],[3. 0. 0.],[0. 1. 1.],0,[1. 3. 3.],0.9523245692253113
610,[3],[1. 0. 3.],[1. 1. 0.],1,[1. 3. 1.],0.9467936158180237
310,[3],[3. 0. 2.],[0. 1. 0.],0,[0. 3. 1.],0.9851573705673218
282,[3],[0. 0. 3.],[1. 1. 1.],1,[3. 1. 3.],0.9609938859939575
649,[3],[3. 0. 2.],[1. 1. 0.],1,[3. 2. 1.],0.9684908986091614
651,[3],[3. 0. 3.],[1. 1. 0.],0,[0. 1. 0.],0.9676766395568848
76,[3],[2. 0. 1.],[0. 1. 1.],0,[3. 2. 0.],0.9884359836578369
64,[3],[0. 0. 2.],[1. 1. 0.],0,[3. 2. 0.],0.9930971264839172
669,[3],[0. 0. 1.],[1. 1. 1.],1,[0. 1. 3.],0.9599395990371704
307,[3],[0. 0. 0.],[1. 1. 0.],0,[2. 2. 1.],0.9831112623214722
49,[3],[3. 0. 3.],[1. 1. 1.],1,[1. 3. 3.],0.973779022693634
46,[3],[3. 0. 2.],[1. 1. 0.],0,[2. 2. 2.],0.9751381278038025
36,[3],[3. 0. 1.],[1. 1. 1.],0,[1. 2. 2.],0.9726776480674744
705,[3],[0. 0. 3.],[1. 1. 0.],0,[1. 3. 2.],0.93544602394104
12,[3],[1. 0. 0.],[1. 1. 0.],1,[1. 1. 0.],0.9546821713447571
593,[3],[3. 0. 0.],[1. 1. 1.],1,[3. 1. 3.],0.9640094041824341
591,[3],[2. 0. 0.],[1. 1. 0.],1,[2. 2. 3.],0.9436198472976685
523,[3],[0. 0. 1.],[0. 1. 1.],0,[0. 3. 0.],0.9531125426292419
145,[3],[2. 0. 1.],[1. 1. 1.],0,[3. 3. 3.],0.9912940263748169
