game_nr,message,targets,fixed indices,context condition,distractors,accuracy
430,"[1, 1]",[0. 0. 3.],[1. 1. 1.],0,[3. 1. 1.],0.9999977350234985
351,"[1, 1]",[0. 0. 3.],[0. 1. 1.],0,[3. 2. 0.],0.9960407018661499
362,"[1, 1]",[0. 0. 3.],[1. 1. 1.],0,[3. 1. 1.],0.9998332262039185
376,[3],[0. 1. 3.],[1. 0. 1.],1,[0. 1. 1.],0.9749689102172852
463,[3],[1. 2. 3.],[1. 0. 1.],0,[0. 0. 0.],0.9906246662139893
456,[3],[1. 1. 3.],[1. 1. 1.],1,[1. 0. 2.],0.9906215667724609
447,[3],[1. 2. 3.],[1. 1. 1.],1,[1. 3. 1.],0.9718794226646423
442,[3],[1. 1. 3.],[1. 0. 1.],0,[2. 3. 1.],0.972540557384491
422,[3],[0. 1. 3.],[0. 1. 1.],0,[0. 2. 0.],0.9937456846237183
411,[3],[0. 2. 3.],[1. 1. 1.],2,[0. 2. 1.],0.9749948978424072
396,[3],[0. 2. 3.],[0. 1. 1.],1,[0. 2. 1.],0.958226203918457
391,[3],[3. 3. 3.],[1. 0. 1.],1,[3. 2. 1.],0.9717332720756531
387,[3],[1. 1. 3.],[1. 1. 1.],0,[3. 3. 2.],0.9738037586212158
372,[3],[1. 1. 3.],[1. 1. 1.],0,[0. 0. 1.],0.9757522940635681
466,[3],[1. 1. 3.],[0. 1. 1.],1,[0. 1. 2.],0.9968644380569458
360,[3],[0. 3. 3.],[1. 1. 1.],0,[1. 2. 0.],0.9316413998603821
355,[3],[3. 1. 3.],[1. 1. 1.],0,[1. 2. 0.],0.9718060493469238
337,[3],[0. 3. 3.],[1. 1. 1.],0,[3. 2. 2.],0.9545523524284363
334,[3],[0. 2. 3.],[1. 1. 1.],2,[0. 2. 0.],0.959465742111206
312,[3],[2. 2. 3.],[0. 1. 1.],1,[2. 2. 1.],0.9812918305397034
310,[3],[1. 0. 3.],[1. 1. 1.],2,[1. 0. 1.],0.9816221594810486
307,[3],[1. 1. 3.],[0. 1. 1.],0,[2. 3. 0.],0.9813060760498047
288,[3],[0. 3. 3.],[0. 0. 1.],0,[1. 1. 0.],0.9875031113624573
280,[3],[0. 1. 3.],[0. 1. 1.],0,[3. 0. 0.],0.9593946933746338
382,[3],[2. 1. 3.],[1. 1. 1.],1,[2. 0. 2.],0.9751322865486145
266,[3],[2. 2. 3.],[0. 1. 1.],0,[1. 1. 2.],0.8780643939971924
477,[3],[1. 1. 3.],[0. 1. 1.],0,[3. 0. 0.],0.9969777464866638
495,[3],[1. 1. 3.],[0. 0. 1.],0,[1. 1. 0.],0.9873738884925842
723,[3],[0. 3. 3.],[0. 1. 0.],0,[0. 2. 0.],0.9580252170562744
719,[3],[2. 0. 3.],[0. 1. 1.],1,[3. 0. 0.],0.9807886481285095
713,[3],[2. 0. 3.],[1. 0. 1.],1,[2. 3. 2.],0.981253981590271
696,[3],[0. 3. 3.],[1. 1. 1.],0,[2. 0. 1.],0.9798256158828735
674,[3],[0. 2. 3.],[0. 1. 1.],1,[3. 2. 1.],0.9593868851661682
665,[3],[3. 1. 3.],[1. 1. 1.],1,[3. 3. 2.],0.9534803628921509
650,[3],[1. 2. 3.],[1. 1. 1.],0,[2. 1. 1.],0.9720077514648438
625,[3],[0. 2. 3.],[0. 0. 1.],0,[1. 0. 1.],0.9343946576118469
621,[3],[3. 1. 3.],[1. 0. 1.],1,[3. 0. 2.],0.9999731183052063
620,[3],[1. 1. 3.],[0. 0. 1.],0,[2. 3. 0.],0.9999715089797974
616,[3],[0. 3. 3.],[1. 0. 1.],1,[0. 0. 2.],0.9999865293502808
615,[3],[0. 2. 3.],[1. 1. 1.],2,[0. 2. 0.],0.9999934434890747
614,[3],[2. 2. 3.],[0. 0. 1.],0,[3. 1. 0.],0.9999248385429382
607,[3],[2. 3. 3.],[1. 1. 1.],2,[2. 3. 0.],0.9563961029052734
582,[3],[1. 1. 3.],[1. 1. 1.],0,[2. 2. 0.],0.9999919533729553
578,[3],[2. 2. 3.],[0. 1. 1.],0,[2. 0. 2.],0.9998218417167664
561,[3],[1. 3. 3.],[1. 1. 1.],0,[0. 0. 1.],0.9940513968467712
559,[3],[0. 1. 3.],[1. 1. 1.],1,[0. 2. 2.],0.9936797618865967
547,[3],[1. 3. 3.],[1. 1. 1.],1,[0. 3. 2.],0.9940599203109741
542,[3],[1. 1. 3.],[1. 1. 1.],0,[3. 2. 2.],0.9937252998352051
521,[3],[2. 2. 3.],[0. 1. 1.],0,[1. 0. 0.],0.9731904864311218
505,[3],[2. 1. 3.],[1. 1. 1.],2,[2. 1. 0.],0.9999923706054688
496,[3],[1. 3. 3.],[1. 1. 1.],2,[1. 3. 1.],0.9999902844429016
481,[3],[0. 2. 3.],[0. 1. 1.],1,[2. 2. 2.],0.987399160861969
249,[3],[1. 2. 3.],[1. 0. 1.],1,[1. 1. 2.],0.9625148177146912
728,[3],[0. 2. 3.],[1. 1. 1.],2,[0. 2. 2.],0.9561119675636292
243,[3],[1. 2. 3.],[0. 1. 1.],1,[2. 2. 0.],0.9625115990638733
165,[3],[3. 2. 3.],[0. 1. 1.],0,[1. 3. 2.],0.9813687801361084
161,[3],[3. 0. 3.],[0. 0. 1.],0,[3. 2. 0.],0.9810705184936523
160,[3],[3. 2. 3.],[1. 0. 1.],1,[3. 0. 2.],0.9811758399009705
156,[3],[1. 3. 3.],[1. 1. 1.],0,[2. 1. 2.],0.9999982118606567
143,[3],[3. 1. 3.],[1. 0. 1.],1,[3. 0. 2.],0.9536347389221191
125,[3],[3. 2. 3.],[1. 1. 1.],1,[2. 2. 1.],0.9594209790229797
112,[3],[3. 1. 3.],[1. 1. 1.],2,[3. 1. 0.],0.9593231678009033
99,[3],[3. 1. 3.],[1. 1. 1.],1,[3. 2. 2.],0.9307847023010254
67,[3],[0. 2. 3.],[0. 1. 1.],0,[2. 0. 0.],0.9627177715301514
63,[3],[1. 3. 2.],[1. 1. 1.],2,[1. 2. 2.],0.9824573397636414
62,[3],[1. 2. 3.],[1. 1. 1.],0,[2. 1. 2.],0.9687313437461853
48,[3],[0. 1. 3.],[1. 1. 1.],2,[0. 1. 0.],0.9688425660133362
34,[3],[3. 2. 3.],[1. 1. 1.],2,[3. 2. 1.],0.990188479423523
30,[3],[1. 2. 3.],[1. 0. 1.],1,[1. 0. 0.],0.9843493103981018
23,[3],[1. 1. 3.],[1. 0. 1.],0,[3. 1. 0.],0.9843253493309021
181,[3],[2. 1. 3.],[0. 1. 1.],0,[0. 3. 0.],0.9999565482139587
197,[3],[2. 3. 3.],[1. 1. 1.],1,[2. 0. 1.],0.9906399846076965
130,[3],[3. 0. 3.],[0. 1. 1.],1,[2. 0. 1.],0.9531620740890503
222,[3],[1. 3. 1.],[0. 1. 1.],1,[0. 0. 1.],0.9812886118888855
235,[3],[3. 1. 3.],[1. 1. 1.],0,[0. 3. 1.],0.9997042417526245
221,[3],[0. 2. 3.],[1. 1. 1.],2,[0. 2. 1.],0.9624091982841492
212,[3],[0. 3. 3.],[1. 0. 1.],1,[0. 0. 0.],0.9624513983726501
219,[3],[3. 3. 0.],[0. 1. 0.],0,[0. 0. 0.],0.9701753854751587
208,[3],[1. 2. 3.],[1. 1. 1.],0,[3. 3. 0.],0.9627875089645386
86,[4],[2. 1. 1.],[1. 0. 0.],0,[3. 1. 2.],0.9874801635742188
610,[4],[2. 3. 3.],[1. 0. 0.],0,[3. 3. 3.],0.9999880790710449
90,[4],[2. 0. 0.],[1. 0. 1.],0,[0. 0. 3.],0.9887106418609619
605,[4],[2. 2. 1.],[1. 0. 0.],0,[0. 3. 2.],0.956265389919281
601,[4],[2. 3. 3.],[1. 1. 1.],2,[3. 3. 3.],0.956328272819519
370,[4],[2. 2. 3.],[1. 1. 1.],1,[1. 3. 3.],0.9751317501068115
583,[4],[2. 0. 3.],[1. 0. 1.],0,[3. 1. 0.],0.9950202107429504
93,[4],[2. 1. 1.],[1. 1. 1.],2,[3. 1. 1.],0.9875044226646423
581,[4],[2. 3. 0.],[1. 1. 1.],2,[3. 3. 0.],0.9998942017555237
300,[4],[2. 1. 1.],[1. 1. 1.],0,[1. 2. 3.],0.9875480532646179
107,[4],[2. 1. 3.],[1. 0. 0.],0,[1. 0. 0.],0.9313996434211731
