game_nr,target,fixed indices,context condition,distractor,message,accuracy
30,[1. 2. 1.],[0. 0. 1.],0,[1. 1. 3.],"[4, 4]",0.9884000420570374
31,[3. 0. 1.],[0. 0. 1.],0,[2. 2. 3.],"[4, 4]",0.9884000420570374
32,[0. 1. 1.],[0. 0. 1.],0,[2. 3. 3.],"[4, 4]",0.9884000420570374
33,[3. 3. 1.],[0. 0. 1.],0,[2. 0. 3.],"[4, 4, 4]",0.991599977016449
34,[2. 3. 1.],[0. 0. 1.],0,[2. 0. 2.],"[4, 4, 4]",0.991599977016449
35,[2. 2. 1.],[0. 0. 1.],0,[0. 3. 3.],"[4, 4, 4]",0.991599977016449
36,[2. 2. 1.],[0. 0. 1.],0,[2. 3. 3.],"[4, 4, 4]",0.991599977016449
37,[2. 2. 1.],[0. 0. 1.],0,[1. 1. 3.],"[4, 4]",0.9884000420570374
38,[0. 1. 1.],[0. 0. 1.],0,[3. 2. 3.],"[4, 4]",0.9884000420570374
39,[0. 1. 1.],[0. 0. 1.],0,[1. 3. 2.],"[4, 4]",0.9884000420570374
