game_nr,target,fixed indices,context condition,distractor,message,accuracy
140,[2. 0. 3.],[1. 1. 1.],2,[0. 0. 3.],[2],0.9251999855041504
141,[2. 0. 3.],[1. 1. 1.],2,[2. 3. 3.],[3],0.9251999855041504
142,[2. 0. 3.],[1. 1. 1.],0,[1. 3. 0.],[3],0.9251999855041504
143,[2. 0. 3.],[1. 1. 1.],2,[0. 0. 3.],[2],0.9251999855041504
144,[2. 0. 3.],[1. 1. 1.],2,[2. 1. 3.],[3],0.9251999855041504
145,[2. 0. 3.],[1. 1. 1.],0,[0. 1. 0.],[3],0.9251999855041504
146,[2. 0. 3.],[1. 1. 1.],2,[0. 0. 3.],[2],0.9251999855041504
147,[2. 0. 3.],[1. 1. 1.],1,[2. 2. 1.],[3],0.9251999855041504
148,[2. 0. 3.],[1. 1. 1.],2,[2. 0. 0.],"[3, 3, 3]",0.9794000387191772
149,[2. 0. 3.],[1. 1. 1.],0,[0. 1. 1.],[3],0.9251999855041504
