game_nr,message,targets,fixed indices,context condition,distractors,accuracy
190,[1],[2. 0. 3.],[1. 0. 1.],0,[3. 1. 0.],0.8928588032722473
217,[1],[2. 2. 3.],[1. 1. 1.],0,[3. 0. 1.],0.9564220309257507
383,[1],[2. 1. 3.],[1. 1. 1.],0,[1. 3. 1.],0.9466682076454163
213,[1],[2. 2. 3.],[1. 0. 1.],0,[0. 3. 2.],0.9589351415634155
358,[1],[2. 2. 3.],[1. 0. 1.],0,[0. 1. 0.],0.9692131876945496
598,[1],[2. 2. 3.],[1. 0. 1.],0,[1. 3. 0.],0.9668472409248352
64,[1],[2. 2. 3.],[1. 1. 1.],0,[0. 0. 2.],0.9967444539070129
406,[1],[2. 2. 3.],[1. 1. 1.],0,[0. 0. 1.],0.9665022492408752
509,[1],[2. 3. 3.],[1. 1. 1.],0,[1. 0. 1.],0.882435142993927
496,[1],[2. 1. 3.],[1. 0. 1.],0,[0. 1. 2.],0.8829628825187683
670,[1],[2. 3. 3.],[1. 0. 1.],0,[0. 1. 2.],0.9492260813713074
453,[1],[2. 3. 3.],[1. 1. 1.],0,[0. 0. 1.],0.9895423650741577
178,[1],[2. 1. 3.],[1. 0. 1.],0,[1. 2. 0.],0.8859812617301941
651,[1],[2. 0. 3.],[1. 0. 1.],0,[0. 2. 1.],0.9634146094322205
136,"[1, 1, 1, 1]",[3. 0. 0.],[0. 1. 1.],0,[3. 2. 2.],0.9909536838531494
79,"[1, 1, 1, 1]",[1. 0. 3.],[1. 1. 1.],1,[1. 2. 1.],0.9995174407958984
62,"[1, 1, 1, 1]",[1. 0. 2.],[1. 1. 0.],0,[2. 1. 1.],0.9718736410140991
131,"[1, 1, 1, 1]",[1. 0. 3.],[1. 1. 1.],0,[3. 2. 1.],0.99211585521698
502,[2],[2. 2. 3.],[0. 1. 1.],0,[1. 1. 2.],0.8811282515525818
513,[2],[3. 1. 3.],[1. 0. 1.],1,[3. 0. 2.],0.9841875433921814
511,[2],[2. 3. 3.],[1. 1. 1.],2,[2. 3. 0.],0.8815271854400635
476,[2],[2. 2. 3.],[0. 1. 1.],0,[1. 0. 0.],0.9999387264251709
490,[2],[0. 2. 3.],[1. 1. 1.],2,[0. 2. 0.],0.9164466857910156
477,[2],[1. 3. 3.],[1. 1. 1.],2,[1. 3. 1.],0.9999702572822571
521,[2],[0. 3. 3.],[0. 0. 1.],0,[1. 1. 0.],0.9843236207962036
467,[2],[1. 1. 3.],[1. 0. 1.],0,[3. 1. 0.],0.9992630481719971
465,[2],[2. 1. 3.],[0. 1. 1.],0,[0. 3. 0.],0.999108612537384
442,[2],[1. 0. 3.],[1. 1. 1.],2,[1. 0. 1.],0.9906482100486755
440,[2],[2. 2. 3.],[0. 1. 1.],0,[2. 0. 2.],0.990605890750885
436,[2],[1. 1. 3.],[0. 1. 1.],0,[3. 0. 0.],0.9909448623657227
428,[2],[0. 3. 3.],[1. 1. 1.],0,[2. 0. 1.],0.9654766321182251
427,[2],[1. 1. 3.],[1. 1. 1.],0,[2. 2. 0.],0.9703658223152161
495,[2],[0. 2. 3.],[1. 1. 1.],2,[0. 2. 1.],0.915634036064148
524,[2],[3. 2. 3.],[1. 0. 1.],1,[3. 0. 2.],0.9843294620513916
7,[2],[1. 1. 3.],[0. 0. 1.],0,[2. 3. 0.],0.9686183333396912
527,[2],[3. 1. 3.],[1. 1. 1.],0,[1. 2. 0.],0.9843810200691223
732,[2],[0. 2. 3.],[0. 1. 1.],0,[2. 0. 0.],0.9374972581863403
731,[2],[0. 2. 3.],[1. 1. 1.],0,[1. 3. 0.],0.9487072825431824
723,[2],[0. 3. 3.],[1. 1. 1.],0,[1. 2. 0.],0.9372129440307617
709,[2],[0. 2. 3.],[1. 1. 1.],0,[2. 0. 1.],0.9671468734741211
698,[2],[0. 1. 3.],[1. 1. 1.],2,[0. 1. 0.],0.9811197519302368
695,[2],[2. 1. 3.],[1. 1. 1.],0,[1. 3. 2.],0.9812871217727661
690,[2],[1. 1. 3.],[1. 0. 1.],0,[2. 3. 1.],0.983484148979187
666,[2],[0. 2. 3.],[0. 1. 1.],1,[0. 2. 1.],0.9470171928405762
663,[2],[1. 1. 3.],[1. 1. 1.],1,[1. 0. 2.],0.9493986368179321
525,[2],[1. 2. 3.],[1. 1. 1.],0,[2. 1. 2.],0.9843739867210388
650,[2],[2. 0. 3.],[1. 0. 1.],1,[2. 3. 2.],0.9422609806060791
633,[2],[3. 0. 3.],[0. 0. 1.],0,[3. 2. 0.],0.9486075639724731
629,[2],[3. 2. 3.],[1. 1. 1.],0,[0. 0. 1.],0.950147807598114
628,[2],[0. 1. 3.],[1. 1. 1.],0,[1. 2. 1.],0.9512228965759277
624,[2],[1. 1. 3.],[0. 0. 1.],0,[1. 1. 0.],0.950052797794342
609,[2],[2. 3. 3.],[1. 1. 1.],1,[2. 0. 1.],0.9649693369865417
561,[2],[3. 1. 3.],[1. 1. 1.],1,[3. 3. 2.],0.9474169611930847
556,[2],[1. 1. 3.],[0. 1. 1.],1,[0. 1. 2.],0.8834273815155029
536,[2],[3. 2. 3.],[1. 1. 1.],0,[0. 1. 0.],0.9999963045120239
534,[2],[1. 2. 3.],[0. 1. 1.],1,[2. 2. 0.],0.9993676543235779
634,[2],[3. 3. 3.],[1. 0. 1.],1,[3. 2. 1.],0.9494537711143494
424,[2],[0. 3. 3.],[1. 0. 1.],0,[2. 2. 1.],0.965609073638916
371,[2],[1. 1. 3.],[1. 1. 1.],0,[3. 3. 2.],0.9456824660301208
408,[2],[1. 2. 3.],[1. 0. 1.],1,[1. 0. 0.],0.9653888940811157
167,[2],[3. 2. 3.],[0. 1. 1.],0,[1. 3. 2.],0.9811732769012451
164,[2],[2. 1. 3.],[1. 1. 1.],1,[2. 0. 2.],0.9816904067993164
143,[2],[3. 0. 3.],[0. 1. 1.],1,[2. 0. 1.],0.9780408143997192
133,[2],[1. 2. 3.],[1. 0. 1.],0,[0. 0. 0.],0.9780007600784302
116,[2],[0. 0. 3.],[1. 1. 1.],1,[2. 0. 2.],0.8968483805656433
108,[2],[1. 1. 3.],[1. 1. 1.],0,[3. 2. 2.],0.9999971389770508
106,[2],[0. 2. 3.],[1. 1. 1.],0,[3. 3. 0.],0.9999871253967285
101,[2],[0. 1. 1.],[1. 1. 0.],0,[3. 0. 1.],0.9999995827674866
92,[2],[0. 1. 3.],[0. 1. 1.],0,[0. 2. 0.],0.9727494120597839
181,[2],[3. 1. 3.],[1. 1. 1.],1,[3. 2. 2.],0.9163283109664917
89,[2],[3. 2. 3.],[1. 1. 1.],1,[2. 2. 1.],0.9716410636901855
83,[2],[3. 1. 3.],[1. 1. 1.],2,[3. 1. 0.],0.9718462824821472
82,[2],[2. 2. 3.],[1. 1. 1.],0,[0. 3. 2.],0.9700255990028381
68,[2],[0. 3. 3.],[1. 1. 1.],1,[3. 3. 2.],0.9968684911727905
67,[2],[2. 0. 3.],[0. 1. 1.],1,[3. 0. 0.],0.9966989755630493
53,[2],[0. 3. 3.],[1. 0. 1.],1,[0. 0. 2.],0.9747945070266724
