game_nr,target,fixed indices,context condition,distractor,message,accuracy
140,[2. 0. 3.],[1. 1. 1.],2,[0. 0. 3.],"[2, 1, 1, 1]",0.9980000257492065
141,[2. 0. 3.],[1. 1. 1.],2,[2. 3. 3.],"[3, 3]",0.9878000020980835
142,[2. 0. 3.],[1. 1. 1.],0,[1. 3. 0.],"[1, 1]",0.9878000020980835
143,[2. 0. 3.],[1. 1. 1.],2,[0. 0. 3.],"[2, 1, 1, 1]",0.9980000257492065
144,[2. 0. 3.],[1. 1. 1.],2,[2. 1. 3.],"[3, 3]",0.9878000020980835
145,[2. 0. 3.],[1. 1. 1.],0,[0. 1. 0.],"[1, 1, 1]",0.9974000453948975
146,[2. 0. 3.],[1. 1. 1.],2,[0. 0. 3.],"[2, 1, 1, 1]",0.9980000257492065
147,[2. 0. 3.],[1. 1. 1.],1,[2. 2. 1.],"[3, 3]",0.9878000020980835
148,[2. 0. 3.],[1. 1. 1.],2,[2. 0. 0.],"[1, 1]",0.9878000020980835
149,[2. 0. 3.],[1. 1. 1.],0,[0. 1. 1.],"[1, 1]",0.9878000020980835
