game_nr,target,fixed indices,context condition,distractor,message,accuracy
30,[1. 2. 1.],[0. 0. 1.],0,[1. 1. 3.],"[1, 1]",0.9654000401496887
31,[3. 0. 1.],[0. 0. 1.],0,[2. 2. 3.],"[1, 1]",0.9654000401496887
32,[0. 1. 1.],[0. 0. 1.],0,[2. 3. 3.],"[1, 1]",0.9654000401496887
33,[3. 3. 1.],[0. 0. 1.],0,[2. 0. 3.],"[1, 1]",0.9654000401496887
34,[2. 3. 1.],[0. 0. 1.],0,[2. 0. 2.],"[1, 1]",0.9654000401496887
35,[2. 2. 1.],[0. 0. 1.],0,[0. 3. 3.],"[1, 1]",0.9654000401496887
36,[2. 2. 1.],[0. 0. 1.],0,[2. 3. 3.],"[1, 1]",0.9654000401496887
37,[2. 2. 1.],[0. 0. 1.],0,[1. 1. 3.],"[1, 1]",0.9654000401496887
38,[0. 1. 1.],[0. 0. 1.],0,[3. 2. 3.],"[1, 1]",0.9654000401496887
39,[0. 1. 1.],[0. 0. 1.],0,[1. 3. 2.],"[1, 1]",0.9654000401496887
