game_nr,target,fixed indices,context condition,distractor,message,accuracy
140,[2. 0. 3.],[1. 1. 1.],2,[0. 0. 3.],[1],0.9007999897003174
141,[2. 0. 3.],[1. 1. 1.],2,[2. 3. 3.],"[1, 1, 1, 1]",0.9503999948501587
142,[2. 0. 3.],[1. 1. 1.],0,[1. 3. 0.],[1],0.9007999897003174
143,[2. 0. 3.],[1. 1. 1.],2,[0. 0. 3.],[1],0.9007999897003174
144,[2. 0. 3.],[1. 1. 1.],2,[2. 1. 3.],"[1, 1, 1, 1]",0.9503999948501587
145,[2. 0. 3.],[1. 1. 1.],0,[0. 1. 0.],[1],0.9007999897003174
146,[2. 0. 3.],[1. 1. 1.],2,[0. 0. 3.],[1],0.9007999897003174
147,[2. 0. 3.],[1. 1. 1.],1,[2. 2. 1.],[1],0.9007999897003174
148,[2. 0. 3.],[1. 1. 1.],2,[2. 0. 0.],[2],0.9007999897003174
149,[2. 0. 3.],[1. 1. 1.],0,[0. 1. 1.],[1],0.9007999897003174
