condition,dataset,run,fixed,ml
context_unaware,"(5,4)",2,3,13.77
context_unaware,"(5,4)",2,4,13.945
context_unaware,"(5,4)",3,0,15.992
context_unaware,"(5,4)",3,1,17.29
context_unaware,"(5,4)",3,2,18.192
context_unaware,"(5,4)",3,3,19.05
context_unaware,"(5,4)",3,4,19.53
context_unaware,"(5,4)",4,0,13.795
context_unaware,"(5,4)",4,1,13.896
context_unaware,"(5,4)",4,2,13.902
context_unaware,"(5,4)",4,3,13.947
context_unaware,"(5,4)",4,4,13.862
context_aware,"(3,4)",0,0,3.9
context_aware,"(3,4)",0,1,3.516
context_aware,"(3,4)",0,2,3.466
context_aware,"(3,4)",0,3,
context_aware,"(3,4)",0,4,
context_aware,"(3,4)",1,0,3.529
context_aware,"(3,4)",1,1,3.34
context_aware,"(3,4)",1,2,3.291
context_aware,"(3,4)",1,3,
context_aware,"(3,4)",1,4,
context_aware,"(3,4)",2,0,3.7
context_aware,"(3,4)",2,1,4.261
context_aware,"(3,4)",2,2,4.186
context_aware,"(3,4)",2,3,
context_aware,"(3,4)",2,4,
context_aware,"(3,4)",3,0,3.371
context_aware,"(3,4)",3,1,2.852
context_aware,"(3,4)",3,2,2.977
context_aware,"(3,4)",3,3,
context_aware,"(3,4)",3,4,
context_aware,"(3,4)",4,0,3.429
context_aware,"(3,4)",4,1,3.591
context_aware,"(3,4)",4,2,3.65
context_aware,"(3,4)",4,3,
context_aware,"(3,4)",4,4,
context_aware,"(3,8)",0,0,3.624
context_aware,"(3,8)",0,1,3.442
context_aware,"(3,8)",0,2,3.315
context_aware,"(3,8)",0,3,
context_aware,"(3,8)",0,4,
context_aware,"(3,8)",1,0,3.191
context_aware,"(3,8)",1,1,3.163
context_aware,"(3,8)",1,2,2.995
context_aware,"(3,8)",1,3,
context_aware,"(3,8)",1,4,
context_aware,"(3,8)",2,0,2.777
context_aware,"(3,8)",2,1,2.784
context_aware,"(3,8)",2,2,2.662
context_aware,"(3,8)",2,3,
context_aware,"(3,8)",2,4,
context_aware,"(3,8)",3,0,3.166
context_aware,"(3,8)",3,1,3.071
context_aware,"(3,8)",3,2,2.888
context_aware,"(3,8)",3,3,
context_aware,"(3,8)",3,4,
context_aware,"(3,8)",4,0,3.248
context_aware,"(3,8)",4,1,3.033
context_aware,"(3,8)",4,2,2.838
context_aware,"(3,8)",4,3,
context_aware,"(3,8)",4,4,
context_aware,"(3,16)",0,0,3.212
context_aware,"(3,16)",0,1,3.226
context_aware,"(3,16)",0,2,3.061
context_aware,"(3,16)",0,3,
context_aware,"(3,16)",0,4,
context_aware,"(3,16)",1,0,4.135
context_aware,"(3,16)",1,1,4.064
context_aware,"(3,16)",1,2,4.013
context_aware,"(3,16)",1,3,
context_aware,"(3,16)",1,4,
context_aware,"(3,16)",2,0,1.128
context_aware,"(3,16)",2,1,1.161
