condition,score,dataset,run,entropy
context_aware,consistency,"(3,4)",2,0.6756368993252997
context_aware,NMI,"(3,4)",3,0.561136743349618
context_aware,effectiveness,"(3,4)",3,0.47543002926452516
context_aware,consistency,"(3,4)",3,0.6845401543125041
context_aware,NMI,"(3,4)",4,0.5681399879391303
context_aware,effectiveness,"(3,4)",4,0.5028482819386928
context_aware,consistency,"(3,4)",4,0.6529172055596659
context_aware,NMI,"(3,8)",0,0.6005300477324343
context_aware,effectiveness,"(3,8)",0,0.5001855401290999
context_aware,consistency,"(3,8)",0,0.751239672405172
context_aware,NMI,"(3,8)",1,0.5804406413087034
context_aware,effectiveness,"(3,8)",1,0.47104252136246527
context_aware,consistency,"(3,8)",1,0.7560250403783242
context_aware,NMI,"(3,8)",2,0.5727925823193434
context_aware,effectiveness,"(3,8)",2,0.46023984252376615
context_aware,consistency,"(3,8)",2,0.7582161254095393
context_aware,NMI,"(3,8)",3,0.5830713015719335
context_aware,effectiveness,"(3,8)",3,0.47735497917931935
context_aware,consistency,"(3,8)",3,0.7489317484582139
context_aware,NMI,"(3,8)",4,0.5591574342614646
context_aware,effectiveness,"(3,8)",4,0.44551561936032236
context_aware,consistency,"(3,8)",4,0.7506267963838816
context_aware,NMI,"(3,16)",0,0.5864828330505713
context_aware,effectiveness,"(3,16)",0,0.47142010993149297
context_aware,consistency,"(3,16)",0,0.7758497841246421
context_aware,NMI,"(3,16)",1,0.668855993823394
context_aware,effectiveness,"(3,16)",1,0.5897015633430154
context_aware,consistency,"(3,16)",1,0.772554382976277
context_aware,NMI,"(3,16)",2,0.4188423742435672
context_aware,effectiveness,"(3,16)",2,0.2889714139283681
context_aware,consistency,"(3,16)",2,0.7607361911899687
context_aware,NMI,"(3,16)",3,0.6043519401523703
context_aware,effectiveness,"(3,16)",3,0.4897282638632985
context_aware,consistency,"(3,16)",3,0.7890285435516551
context_aware,NMI,"(3,16)",4,0.6566849899672305
context_aware,effectiveness,"(3,16)",4,0.5768821698146545
context_aware,consistency,"(3,16)",4,0.7621114458980129
context_aware,NMI,"(4,4)",0,0.5152300337634084
context_aware,effectiveness,"(4,4)",0,0.4150695421169178
context_aware,consistency,"(4,4)",0,0.6791049475383208
context_aware,NMI,"(4,4)",1,0.5829375011324472
context_aware,effectiveness,"(4,4)",1,0.5027228297415862
context_aware,consistency,"(4,4)",1,0.6936102518724063
context_aware,NMI,"(4,4)",2,0.5018889464152775
context_aware,effectiveness,"(4,4)",2,0.39642954653446694
context_aware,consistency,"(4,4)",2,0.6837938865078739
context_aware,NMI,"(4,4)",3,0.53448380068293
context_aware,effectiveness,"(4,4)",3,0.4383765890678536
context_aware,consistency,"(4,4)",3,0.6845636825565338
context_aware,NMI,"(4,4)",4,0.5397424121527091
context_aware,effectiveness,"(4,4)",4,0.4444047168928289
context_aware,consistency,"(4,4)",4,0.6871576488253862
context_aware,NMI,"(4,8)",0,0.6030269001555583
context_aware,effectiveness,"(4,8)",0,0.5094318499141905
context_aware,consistency,"(4,8)",0,0.7387540245018459
context_aware,NMI,"(4,8)",1,0.610911677953482
context_aware,effectiveness,"(4,8)",1,0.522494108858434
context_aware,consistency,"(4,8)",1,0.7353490076600524
context_aware,NMI,"(4,8)",2,0.5787803008288335
context_aware,effectiveness,"(4,8)",2,0.47884923430220794
context_aware,consistency,"(4,8)",2,0.7314204687203915
context_aware,NMI,"(4,8)",3,0.4760939082903385
context_aware,effectiveness,"(4,8)",3,0.3522269695214759
context_aware,consistency,"(4,8)",3,0.7343365385442877
context_aware,NMI,"(4,8)",4,0.48816940021241173
context_aware,effectiveness,"(4,8)",4,0.37049663199180494
context_aware,consistency,"(4,8)",4,0.7153799325835726
context_aware,NMI,"(5,4)",0,0.5184868298674291
context_aware,effectiveness,"(5,4)",0,0.41799674846608903
context_aware,consistency,"(5,4)",0,0.6825866398669324
context_aware,NMI,"(5,4)",1,0.5239183068567271
context_aware,effectiveness,"(5,4)",1,0.42277814649128465
context_aware,consistency,"(5,4)",1,0.6886662031240176
context_aware,NMI,"(5,4)",2,0.4778604661083394
context_aware,effectiveness,"(5,4)",2,0.3695048737582567
context_aware,consistency,"(5,4)",2,0.6761334752724959
context_aware,NMI,"(5,4)",3,0.509395645468727
context_aware,effectiveness,"(5,4)",3,0.4050355347536647
context_aware,consistency,"(5,4)",3,0.6861995399967402
context_aware,NMI,"(5,4)",4,0.5252949258934246
context_aware,effectiveness,"(5,4)",4,0.42397341499776375
context_aware,consistency,"(5,4)",4,0.6902518806817755
