condition,score,dataset,run,fixed,entropy
context_unaware,effectiveness_hierarchical,"(3,8)",0,3,
context_unaware,effectiveness_hierarchical,"(3,8)",0,4,
context_unaware,consistency_hierarchical,"(3,8)",0,0,0.6303527307957029
context_unaware,consistency_hierarchical,"(3,8)",0,1,0.7187739581740997
context_unaware,consistency_hierarchical,"(3,8)",0,2,0.7607705038897197
context_unaware,consistency_hierarchical,"(3,8)",0,3,
context_unaware,consistency_hierarchical,"(3,8)",0,4,
context_unaware,NMI_hierarchical,"(3,8)",1,0,0.7623142498860986
context_unaware,NMI_hierarchical,"(3,8)",1,1,0.8345056018369846
context_unaware,NMI_hierarchical,"(3,8)",1,2,0.8591831220286649
context_unaware,NMI_hierarchical,"(3,8)",1,3,
context_unaware,NMI_hierarchical,"(3,8)",1,4,
context_unaware,effectiveness_hierarchical,"(3,8)",1,0,0.9941715339512277
context_unaware,effectiveness_hierarchical,"(3,8)",1,1,0.9933541064072726
context_unaware,effectiveness_hierarchical,"(3,8)",1,2,0.9955596822967386
context_unaware,effectiveness_hierarchical,"(3,8)",1,3,
context_unaware,effectiveness_hierarchical,"(3,8)",1,4,
context_unaware,consistency_hierarchical,"(3,8)",1,0,0.6181511527504985
context_unaware,consistency_hierarchical,"(3,8)",1,1,0.7194564206909138
context_unaware,consistency_hierarchical,"(3,8)",1,2,0.7556680701939806
context_unaware,consistency_hierarchical,"(3,8)",1,3,
context_unaware,consistency_hierarchical,"(3,8)",1,4,
context_unaware,NMI_hierarchical,"(3,8)",2,0,0.7682897814234426
context_unaware,NMI_hierarchical,"(3,8)",2,1,0.8371341860561131
context_unaware,NMI_hierarchical,"(3,8)",2,2,0.8634002679885449
context_unaware,NMI_hierarchical,"(3,8)",2,3,
context_unaware,NMI_hierarchical,"(3,8)",2,4,
context_unaware,effectiveness_hierarchical,"(3,8)",2,0,1.0
context_unaware,effectiveness_hierarchical,"(3,8)",2,1,0.9964390244182001
context_unaware,effectiveness_hierarchical,"(3,8)",2,2,0.9957423175424273
context_unaware,effectiveness_hierarchical,"(3,8)",2,3,
context_unaware,effectiveness_hierarchical,"(3,8)",2,4,
context_unaware,consistency_hierarchical,"(3,8)",2,0,0.6237585511885475
context_unaware,consistency_hierarchical,"(3,8)",2,1,0.721745707266156
context_unaware,consistency_hierarchical,"(3,8)",2,2,0.762109828741442
context_unaware,consistency_hierarchical,"(3,8)",2,3,
context_unaware,consistency_hierarchical,"(3,8)",2,4,
context_unaware,NMI_hierarchical,"(3,8)",3,0,0.7549517399565597
context_unaware,NMI_hierarchical,"(3,8)",3,1,0.8344834446113953
context_unaware,NMI_hierarchical,"(3,8)",3,2,0.8617605433168805
context_unaware,NMI_hierarchical,"(3,8)",3,3,
context_unaware,NMI_hierarchical,"(3,8)",3,4,
context_unaware,effectiveness_hierarchical,"(3,8)",3,0,0.9970856880576712
context_unaware,effectiveness_hierarchical,"(3,8)",3,1,0.9992620343514127
context_unaware,effectiveness_hierarchical,"(3,8)",3,2,0.9944022749813171
context_unaware,effectiveness_hierarchical,"(3,8)",3,3,
context_unaware,effectiveness_hierarchical,"(3,8)",3,4,
context_unaware,consistency_hierarchical,"(3,8)",3,0,0.6074399994324102
context_unaware,consistency_hierarchical,"(3,8)",3,1,0.7163561195691235
context_unaware,consistency_hierarchical,"(3,8)",3,2,0.7603400042149282
context_unaware,consistency_hierarchical,"(3,8)",3,3,
context_unaware,consistency_hierarchical,"(3,8)",3,4,
context_unaware,NMI_hierarchical,"(3,8)",4,0,0.7744736606755848
context_unaware,NMI_hierarchical,"(3,8)",4,1,0.8367586928914316
context_unaware,NMI_hierarchical,"(3,8)",4,2,0.8604031784334141
context_unaware,NMI_hierarchical,"(3,8)",4,3,
context_unaware,NMI_hierarchical,"(3,8)",4,4,
context_unaware,effectiveness_hierarchical,"(3,8)",4,0,1.0
context_unaware,effectiveness_hierarchical,"(3,8)",4,1,0.9991692871802011
context_unaware,effectiveness_hierarchical,"(3,8)",4,2,0.9984934550013861
context_unaware,effectiveness_hierarchical,"(3,8)",4,3,
context_unaware,effectiveness_hierarchical,"(3,8)",4,4,
context_unaware,consistency_hierarchical,"(3,8)",4,0,0.6319518690251258
context_unaware,consistency_hierarchical,"(3,8)",4,1,0.7197641764084757
context_unaware,consistency_hierarchical,"(3,8)",4,2,0.755867709932753
context_unaware,consistency_hierarchical,"(3,8)",4,3,
context_unaware,consistency_hierarchical,"(3,8)",4,4,
