condition,acc_type,dataset,run,accuracy
context_aware,test,"(4,4)",1,0.9886274337768555
context_aware,train,"(4,4)",2,0.9884551167488098
context_aware,val,"(4,4)",2,0.9762795567512512
context_aware,test,"(4,4)",2,0.9711999893188477
context_aware,train,"(4,4)",3,0.9925112128257751
context_aware,val,"(4,4)",3,0.9770632982254028
context_aware,test,"(4,4)",3,0.9785200357437134
context_aware,train,"(4,4)",4,0.9986069798469543
context_aware,val,"(4,4)",4,0.99065762758255
context_aware,test,"(4,4)",4,0.9898000955581665
context_aware,train,"(4,8)",0,0.9955183267593384
context_aware,val,"(4,8)",0,0.9926860332489014
context_aware,test,"(4,8)",0,0.9920843839645386
context_aware,train,"(4,8)",1,0.9952803254127502
context_aware,val,"(4,8)",1,0.9934724569320679
context_aware,test,"(4,8)",1,0.9925488233566284
context_aware,train,"(4,8)",2,0.9951059222221375
context_aware,val,"(4,8)",2,0.9918938875198364
context_aware,test,"(4,8)",2,0.9929256439208984
context_aware,train,"(4,8)",3,0.9728580117225647
context_aware,val,"(4,8)",3,0.9709591865539551
context_aware,test,"(4,8)",3,0.9712793231010437
context_aware,train,"(4,8)",4,0.9505149126052856
context_aware,val,"(4,8)",4,0.9440508484840393
context_aware,test,"(4,8)",4,0.9447318315505981
context_aware,train,"(5,4)",0,0.9923412203788757
context_aware,val,"(5,4)",0,0.9858182668685913
context_aware,test,"(5,4)",0,0.9846319556236267
context_aware,train,"(5,4)",1,0.9932669401168823
context_aware,val,"(5,4)",1,0.9910926818847656
context_aware,test,"(5,4)",1,0.9899100065231323
context_aware,train,"(5,4)",2,0.9843454957008362
context_aware,val,"(5,4)",2,0.9828721284866333
context_aware,test,"(5,4)",2,0.9848325252532959
context_aware,train,"(5,4)",3,0.9918602705001831
context_aware,val,"(5,4)",3,0.9902623891830444
context_aware,test,"(5,4)",3,0.9898090362548828
context_aware,train,"(5,4)",4,0.9778494834899902
context_aware,val,"(5,4)",4,0.965690016746521
context_aware,test,"(5,4)",4,0.9643697738647461
