game_nr,message,targets,fixed indices,context condition,distractors,accuracy
2982,"[3, 4]",[3. 2. 1. 1.],[1. 0. 1. 1.],0,[0. 1. 0. 3.],0.9999991655349731
3398,"[3, 4]",[3. 2. 1. 0.],[1. 1. 1. 1.],0,[0. 0. 0. 2.],0.9781848788261414
3059,"[3, 4]",[3. 1. 1. 1.],[1. 1. 1. 1.],1,[2. 1. 0. 0.],0.9982684850692749
2733,"[3, 4]",[3. 1. 1. 0.],[1. 0. 1. 0.],0,[0. 2. 3. 0.],0.9687498211860657
2730,"[3, 4]",[3. 3. 1. 1.],[1. 0. 1. 1.],0,[2. 1. 0. 3.],0.9687225222587585
3349,"[3, 4]",[2. 2. 1. 2.],[0. 1. 1. 1.],0,[0. 1. 0. 0.],0.9999908804893494
1217,"[3, 4]",[3. 1. 1. 2.],[1. 1. 1. 1.],0,[2. 2. 0. 3.],0.978034257888794
1803,"[3, 4]",[1. 2. 1. 3.],[1. 1. 1. 1.],1,[0. 3. 0. 3.],0.9999520182609558
3306,"[3, 4]",[1. 2. 1. 2.],[0. 1. 1. 1.],1,[0. 2. 0. 1.],0.9999791979789734
572,"[3, 4]",[3. 2. 1. 1.],[1. 1. 1. 1.],1,[0. 2. 0. 0.],0.9998573064804077
1176,"[3, 4]",[1. 2. 1. 1.],[1. 1. 1. 1.],0,[3. 0. 2. 0.],0.9982219934463501
653,"[3, 4]",[3. 3. 1. 1.],[1. 0. 1. 1.],1,[1. 2. 0. 1.],0.9975435137748718
437,"[3, 4]",[3. 2. 1. 2.],[1. 1. 1. 1.],0,[0. 3. 0. 3.],0.9689067602157593
3268,"[3, 4]",[3. 2. 1. 3.],[1. 1. 1. 0.],0,[0. 1. 3. 1.],0.9999998807907104
1747,"[3, 4]",[1. 1. 1. 2.],[1. 1. 1. 1.],1,[0. 1. 0. 1.],0.9999954700469971
1546,"[3, 4]",[3. 1. 1. 1.],[1. 1. 1. 0.],0,[0. 3. 0. 3.],0.9999969005584717
844,"[3, 4]",[1. 2. 1. 2.],[1. 1. 1. 0.],0,[0. 0. 2. 2.],0.9998924136161804
1734,"[3, 4]",[3. 0. 1. 1.],[1. 1. 1. 1.],2,[0. 0. 0. 1.],0.9989756941795349
3008,"[3, 4]",[3. 2. 1. 0.],[1. 1. 1. 1.],0,[2. 1. 2. 2.],0.9925468564033508
3016,"[3, 4]",[3. 2. 1. 1.],[1. 1. 1. 1.],0,[0. 3. 3. 2.],0.9926446080207825
3083,"[3, 4]",[0. 2. 1. 2.],[1. 1. 1. 1.],1,[0. 0. 2. 0.],0.9999999403953552
1088,"[3, 4]",[2. 2. 1. 2.],[0. 0. 1. 1.],0,[0. 1. 2. 3.],1.0
1023,"[3, 4]",[3. 0. 1. 0.],[1. 1. 1. 1.],0,[2. 3. 3. 2.],0.9999983310699463
1067,"[3, 4]",[1. 2. 1. 2.],[1. 1. 1. 1.],0,[2. 0. 3. 3.],0.9999704957008362
1070,"[3, 4]",[1. 2. 1. 0.],[1. 1. 1. 1.],0,[2. 3. 3. 1.],0.9999996423721313
1449,"[3, 4]",[1. 0. 1. 1.],[1. 1. 1. 1.],2,[0. 0. 0. 1.],0.9999966025352478
2350,"[3, 4]",[3. 3. 1. 1.],[1. 0. 1. 0.],0,[0. 1. 0. 0.],0.9551371932029724
1265,"[3, 4]",[1. 1. 1. 3.],[1. 0. 1. 1.],1,[3. 3. 0. 3.],0.9997969269752502
2734,"[3, 4]",[3. 3. 1. 1.],[1. 1. 1. 0.],1,[2. 3. 0. 2.],0.9687488675117493
8,"[3, 4]",[3. 1. 1. 0.],[1. 0. 1. 1.],0,[1. 1. 3. 1.],0.9999984502792358
3664,"[3, 4]",[1. 2. 1. 2.],[1. 1. 1. 0.],0,[0. 3. 2. 1.],0.9999997019767761
19,"[3, 4]",[3. 2. 1. 2.],[1. 0. 1. 1.],0,[1. 2. 2. 0.],0.9999977946281433
2059,"[3, 4]",[1. 0. 1. 2.],[1. 1. 1. 1.],0,[0. 3. 2. 3.],0.9999674558639526
47,"[3, 4]",[3. 2. 1. 0.],[1. 1. 1. 1.],0,[2. 1. 0. 1.],0.9999983310699463
2900,"[3, 4]",[1. 0. 1. 2.],[0. 0. 1. 1.],0,[3. 2. 0. 0.],1.0
1397,"[3, 4]",[1. 1. 1. 1.],[1. 1. 1. 1.],1,[0. 1. 2. 3.],0.9999914765357971
1350,"[3, 4]",[3. 1. 1. 2.],[1. 1. 1. 0.],1,[1. 1. 3. 0.],0.9781233668327332
1342,"[3, 4]",[3. 1. 1. 1.],[1. 1. 1. 1.],0,[1. 0. 2. 3.],0.9998461008071899
1875,"[3, 4]",[1. 0. 1. 1.],[1. 1. 1. 1.],0,[3. 1. 3. 0.],0.9999717473983765
3610,"[3, 4]",[3. 2. 1. 2.],[1. 1. 1. 1.],0,[2. 3. 3. 1.],0.9999861717224121
2003,"[3, 4]",[3. 2. 1. 3.],[1. 1. 1. 0.],0,[2. 3. 0. 2.],0.9999614357948303
2011,"[3, 4]",[3. 2. 1. 2.],[1. 0. 1. 1.],0,[0. 2. 3. 3.],0.9999857544898987
3581,"[3, 4]",[3. 1. 1. 0.],[1. 1. 1. 1.],0,[1. 3. 2. 1.],0.9999868273735046
