game_nr,message,targets,fixed indices,context condition,distractors,accuracy
8,"[4, 2]",[2. 0. 1. 2.],[1. 1. 1. 0.],2,[2. 0. 2. 0.],0.9999935626983643
2457,"[4, 2]",[3. 2. 1. 0.],[1. 0. 1. 0.],1,[3. 1. 2. 0.],0.9999968409538269
2498,"[4, 2]",[0. 0. 1. 3.],[0. 1. 1. 0.],1,[3. 0. 2. 2.],0.9999977946281433
2517,"[4, 2]",[3. 3. 1. 0.],[0. 0. 1. 1.],0,[2. 0. 0. 2.],0.999996542930603
2556,"[4, 2]",[3. 3. 1. 0.],[1. 0. 1. 0.],1,[3. 1. 2. 3.],0.9993671774864197
2559,"[4, 2]",[1. 0. 1. 0.],[0. 1. 1. 1.],2,[0. 0. 0. 0.],0.9999961853027344
2562,"[4, 2]",[0. 0. 1. 1.],[1. 0. 1. 1.],0,[3. 3. 2. 0.],0.9994685649871826
2566,"[4, 2]",[0. 0. 1. 1.],[1. 0. 1. 1.],1,[0. 0. 3. 0.],0.9998580813407898
2608,"[4, 2]",[1. 1. 1. 1.],[1. 0. 1. 1.],2,[1. 1. 0. 1.],0.9998661279678345
2615,"[4, 2]",[3. 0. 1. 0.],[1. 0. 1. 1.],2,[3. 0. 0. 0.],0.9998708367347717
2628,"[4, 2]",[1. 1. 1. 0.],[1. 1. 1. 1.],0,[0. 2. 3. 3.],0.9994975924491882
2443,"[4, 2]",[3. 3. 1. 1.],[0. 1. 1. 0.],1,[1. 3. 3. 1.],0.9990999698638916
2634,"[4, 2]",[1. 3. 1. 2.],[0. 0. 1. 1.],0,[3. 0. 2. 3.],0.999995231628418
2637,"[4, 2]",[1. 0. 1. 0.],[1. 1. 1. 1.],0,[2. 3. 2. 1.],0.9833957552909851
2648,"[4, 2]",[1. 0. 1. 0.],[1. 1. 1. 1.],0,[2. 3. 2. 2.],0.9987480640411377
2664,"[4, 2]",[0. 0. 1. 1.],[1. 1. 1. 1.],3,[0. 0. 0. 1.],0.999941885471344
2694,"[4, 2]",[0. 1. 1. 3.],[1. 1. 1. 1.],3,[0. 1. 0. 3.],0.9718297123908997
2712,"[4, 2]",[2. 0. 1. 1.],[1. 1. 1. 1.],2,[2. 0. 2. 2.],0.9749810695648193
2713,"[4, 2]",[1. 0. 1. 2.],[0. 0. 1. 1.],0,[2. 2. 0. 0.],0.9749563932418823
2764,"[4, 2]",[1. 0. 1. 2.],[1. 1. 1. 0.],0,[2. 2. 3. 3.],0.9998247027397156
2770,"[4, 2]",[0. 3. 1. 2.],[1. 1. 1. 1.],3,[0. 3. 3. 2.],0.9996548891067505
2776,"[4, 2]",[0. 0. 1. 3.],[1. 1. 1. 1.],3,[0. 0. 0. 3.],0.9999317526817322
2778,"[4, 2]",[2. 3. 1. 0.],[1. 1. 1. 1.],3,[2. 3. 2. 0.],0.9999720454216003
2635,"[4, 2]",[0. 0. 1. 1.],[1. 0. 1. 0.],0,[1. 0. 2. 0.],0.9994617700576782
2434,"[4, 2]",[1. 0. 1. 3.],[1. 1. 1. 1.],0,[0. 2. 3. 1.],0.9999954700469971
2406,"[4, 2]",[0. 1. 1. 3.],[0. 1. 1. 1.],1,[2. 1. 0. 2.],0.9999626874923706
2397,"[4, 2]",[1. 1. 1. 2.],[1. 1. 1. 1.],0,[3. 0. 2. 3.],0.999983549118042
1913,"[4, 2]",[0. 3. 1. 2.],[1. 1. 1. 1.],3,[0. 3. 2. 2.],0.9996352791786194
1914,"[4, 2]",[1. 1. 1. 0.],[1. 1. 1. 1.],1,[1. 2. 3. 3.],0.9996967315673828
1935,"[4, 2]",[1. 1. 1. 0.],[1. 1. 1. 1.],0,[0. 3. 0. 3.],0.9999943971633911
1987,"[4, 2]",[2. 2. 1. 3.],[1. 1. 1. 1.],3,[2. 2. 3. 3.],0.9999991655349731
1993,"[4, 2]",[3. 1. 1. 2.],[1. 1. 1. 1.],2,[3. 1. 0. 0.],0.9999995827674866
2016,"[4, 2]",[0. 1. 1. 1.],[0. 1. 1. 1.],0,[0. 3. 0. 0.],0.9999955296516418
2030,"[4, 2]",[1. 1. 1. 0.],[0. 1. 1. 1.],0,[3. 3. 0. 1.],0.9999311566352844
2069,"[4, 2]",[1. 1. 1. 0.],[1. 0. 1. 1.],1,[2. 3. 3. 0.],0.999906063079834
2088,"[4, 2]",[1. 0. 1. 2.],[0. 0. 1. 1.],0,[3. 2. 0. 0.],0.9999991059303284
2129,"[4, 2]",[0. 2. 1. 1.],[0. 1. 1. 1.],2,[1. 2. 3. 1.],0.9997581839561462
2152,"[4, 2]",[1. 0. 1. 2.],[1. 1. 1. 0.],2,[1. 0. 2. 1.],0.9998648166656494
2155,"[4, 2]",[2. 2. 1. 2.],[0. 0. 1. 1.],0,[0. 1. 2. 3.],0.9999978542327881
