game_nr,message,targets,fixed indices,context condition,distractors,accuracy
1775,[1],[3. 1. 2. 3.],[0. 1. 1. 0.],1,[2. 3. 2. 3.],0.9999998211860657
515,[1],[0. 1. 2. 2.],[0. 1. 0. 1.],0,[3. 3. 0. 0.],1.0
527,[1],[2. 1. 1. 0.],[1. 1. 1. 0.],2,[2. 2. 1. 3.],0.9999997615814209
3194,[1],[0. 3. 3. 3.],[1. 1. 0. 1.],2,[0. 3. 0. 2.],0.9687498211860657
1080,[1],[3. 1. 3. 2.],[1. 1. 1. 1.],3,[3. 2. 3. 2.],0.9906225800514221
2408,[1],[2. 1. 2. 1.],[1. 1. 1. 1.],3,[2. 0. 2. 1.],0.9999998211860657
1041,[1],[2. 3. 0. 3.],[1. 1. 1. 1.],3,[2. 3. 0. 1.],0.9999998211860657
1023,[1],[0. 2. 0. 3.],[1. 1. 1. 1.],3,[0. 2. 0. 2.],0.9906250238418579
3171,[1],[3. 1. 2. 0.],[0. 1. 1. 1.],2,[1. 3. 2. 0.],0.9998451471328735
2439,[1],[3. 1. 1. 0.],[0. 1. 0. 1.],1,[2. 2. 2. 0.],0.999519407749176
2364,[1],[2. 1. 1. 3.],[0. 1. 1. 1.],1,[3. 0. 1. 0.],0.9687690138816833
3163,[1],[2. 1. 1. 1.],[1. 1. 1. 1.],2,[2. 2. 2. 1.],0.9656020402908325
2453,[1],[3. 1. 1. 3.],[1. 1. 1. 1.],3,[3. 3. 1. 3.],0.9843500256538391
1006,[1],[2. 1. 0. 0.],[0. 1. 1. 1.],2,[3. 2. 0. 0.],0.9687454104423523
2502,[1],[0. 0. 0. 3.],[0. 1. 1. 1.],2,[3. 0. 0. 2.],0.9781292080879211
986,[1],[2. 1. 0. 3.],[0. 1. 1. 1.],1,[0. 3. 0. 2.],0.9874992370605469
2527,[1],[2. 1. 1. 0.],[1. 1. 1. 1.],2,[2. 2. 3. 0.],0.9937257766723633
2537,[1],[3. 3. 3. 3.],[1. 1. 1. 1.],3,[3. 3. 3. 0.],0.9999998807907104
3148,[1],[0. 1. 2. 2.],[1. 1. 0. 0.],1,[0. 0. 0. 3.],0.971896231174469
3147,[1],[3. 1. 2. 3.],[1. 0. 1. 1.],2,[3. 1. 2. 1.],0.9741616249084473
583,[1],[1. 1. 1. 3.],[1. 1. 1. 1.],3,[1. 2. 1. 3.],0.9873323440551758
555,[1],[3. 0. 2. 3.],[0. 1. 0. 1.],1,[0. 0. 3. 1.],1.0000001192092896
2545,[1],[3. 1. 1. 0.],[1. 1. 1. 0.],1,[3. 2. 0. 0.],0.9906167984008789
2362,[1],[0. 1. 3. 1.],[1. 1. 1. 1.],3,[0. 0. 3. 1.],0.9687724113464355
501,[1],[3. 0. 1. 3.],[0. 1. 1. 1.],2,[2. 0. 1. 1.],0.9999995231628418
1256,[1],[0. 1. 2. 2.],[1. 1. 0. 1.],2,[0. 0. 0. 2.],0.9820796251296997
778,[1],[2. 3. 0. 3.],[1. 1. 1. 1.],2,[2. 3. 1. 2.],0.9686504006385803
1221,[1],[0. 1. 1. 1.],[1. 1. 1. 1.],2,[0. 0. 2. 1.],0.9999992847442627
3278,[1],[0. 1. 0. 2.],[1. 1. 1. 1.],1,[1. 3. 1. 2.],0.9785724878311157
428,[1],[3. 1. 1. 1.],[1. 1. 1. 0.],2,[3. 2. 1. 1.],0.9998245239257812
430,[1],[3. 1. 2. 2.],[1. 1. 1. 0.],2,[3. 0. 2. 1.],0.9999993443489075
1207,[1],[2. 3. 2. 3.],[1. 1. 1. 1.],3,[2. 3. 2. 2.],0.9999973773956299
1199,[1],[0. 0. 2. 3.],[1. 1. 0. 1.],2,[0. 0. 1. 0.],0.9999999403953552
449,[1],[3. 1. 0. 0.],[1. 1. 1. 1.],2,[3. 0. 2. 0.],0.9906187653541565
502,[1],[0. 3. 3. 3.],[1. 1. 1. 1.],3,[0. 3. 3. 1.],0.9999998211860657
457,[1],[3. 1. 3. 0.],[0. 1. 0. 0.],0,[0. 3. 3. 0.],0.9906235337257385
463,[1],[0. 1. 1. 2.],[1. 1. 1. 1.],3,[0. 3. 1. 2.],0.9906249642372131
1161,[1],[2. 3. 1. 1.],[1. 1. 1. 1.],1,[1. 2. 0. 1.],0.9331497550010681
2358,[1],[0. 1. 1. 3.],[1. 1. 1. 1.],2,[0. 3. 0. 3.],0.9687709212303162
3229,[1],[2. 1. 0. 2.],[0. 1. 0. 0.],0,[0. 3. 3. 2.],0.9907110929489136
3225,[1],[3. 1. 3. 3.],[1. 1. 1. 1.],2,[3. 2. 3. 2.],0.9906428456306458
490,[1],[0. 1. 2. 0.],[1. 1. 0. 0.],1,[0. 0. 1. 0.],0.95001220703125
2359,[1],[0. 1. 0. 1.],[1. 1. 0. 1.],1,[1. 3. 1. 1.],0.9716238379478455
498,[1],[3. 1. 1. 3.],[1. 1. 0. 1.],1,[3. 3. 0. 1.],0.9999998807907104
500,[1],[2. 1. 0. 3.],[0. 1. 1. 0.],1,[3. 0. 0. 1.],0.9999986290931702
1176,[1],[3. 3. 2. 3.],[0. 0. 0. 1.],0,[0. 2. 3. 2.],0.9642428159713745
2550,[1],[2. 1. 2. 1.],[0. 1. 1. 1.],2,[2. 0. 2. 1.],0.990610659122467
2559,[1],[1. 0. 3. 3.],[0. 0. 0. 1.],0,[2. 3. 1. 2.],0.990624189376831
