game_nr,message,targets,fixed indices,context condition,distractors,accuracy
1887,[2],[2. 1. 2. 0.],[1. 0. 0. 1.],1,[3. 2. 3. 0.],0.9999992847442627
2329,[2],[2. 1. 1. 1.],[1. 1. 1. 1.],1,[1. 2. 2. 1.],0.9999998807907104
2328,[2],[2. 2. 0. 1.],[1. 1. 1. 1.],2,[3. 2. 2. 1.],0.9999998211860657
2323,[2],[2. 3. 2. 1.],[1. 1. 1. 1.],0,[3. 2. 0. 0.],0.9999999403953552
2312,[2],[2. 3. 2. 1.],[1. 1. 1. 0.],0,[3. 2. 3. 0.],0.9906250238418579
2311,[2],[2. 2. 0. 1.],[1. 1. 1. 1.],2,[3. 2. 0. 3.],0.9906240105628967
2302,[2],[2. 1. 0. 2.],[1. 1. 1. 1.],1,[3. 0. 0. 3.],0.9906238913536072
2297,[2],[2. 0. 2. 1.],[1. 1. 1. 1.],1,[0. 1. 1. 1.],0.9906248450279236
2292,[2],[2. 1. 2. 2.],[1. 1. 0. 1.],2,[1. 1. 3. 2.],0.9906247854232788
2284,[2],[2. 1. 0. 2.],[1. 1. 1. 1.],3,[3. 1. 0. 2.],0.9812494516372681
2280,[2],[2. 0. 3. 0.],[1. 1. 1. 1.],2,[1. 1. 3. 0.],0.9812484979629517
2278,[2],[2. 3. 2. 1.],[1. 1. 0. 1.],0,[3. 0. 0. 0.],0.981243908405304
2271,[2],[2. 3. 3. 2.],[1. 1. 1. 0.],2,[0. 3. 3. 3.],0.9999992847442627
2267,[2],[2. 3. 1. 3.],[1. 1. 1. 0.],1,[0. 3. 3. 1.],0.9999993443489075
2260,[2],[2. 3. 2. 1.],[1. 0. 1. 1.],0,[3. 1. 1. 2.],0.9999999403953552
2257,[2],[2. 0. 2. 1.],[1. 1. 1. 1.],0,[1. 1. 3. 0.],1.0
2256,[2],[2. 3. 1. 0.],[1. 1. 1. 1.],1,[3. 3. 2. 3.],0.9999669790267944
2252,[2],[2. 2. 1. 3.],[1. 1. 1. 1.],2,[1. 0. 1. 3.],1.0
2246,[2],[2. 3. 0. 0.],[1. 1. 1. 0.],1,[0. 0. 0. 3.],0.9999993443489075
2230,[2],[2. 0. 2. 0.],[1. 1. 0. 1.],1,[1. 3. 1. 0.],0.9874778389930725
2218,[2],[2. 3. 1. 1.],[1. 1. 0. 1.],1,[3. 3. 1. 0.],0.9906242489814758
2204,[2],[2. 3. 3. 1.],[1. 1. 1. 0.],1,[1. 2. 3. 2.],0.9999970197677612
2200,[2],[2. 0. 3. 1.],[1. 1. 1. 1.],2,[0. 0. 1. 1.],0.9993636608123779
2199,[2],[2. 1. 0. 1.],[1. 1. 1. 1.],1,[3. 2. 0. 0.],0.999971330165863
2197,[2],[2. 1. 3. 3.],[1. 1. 0. 1.],1,[3. 2. 1. 3.],0.9999915361404419
2190,[2],[2. 0. 3. 3.],[1. 1. 0. 1.],0,[0. 1. 2. 2.],0.9687320590019226
2178,[2],[2. 3. 2. 0.],[1. 1. 0. 1.],0,[0. 0. 3. 1.],0.9687422513961792
2172,[2],[2. 2. 3. 2.],[1. 0. 1. 1.],0,[1. 1. 2. 0.],0.9999997019767761
2170,[2],[2. 3. 1. 2.],[1. 1. 1. 0.],0,[1. 1. 3. 2.],0.9999920725822449
2164,[2],[2. 1. 1. 1.],[1. 1. 1. 0.],1,[3. 1. 2. 0.],0.9999982714653015
2331,[2],[2. 0. 3. 0.],[1. 1. 0. 1.],0,[1. 2. 1. 1.],0.9999883770942688
2142,[2],[2. 0. 1. 0.],[1. 0. 1. 0.],0,[0. 2. 0. 0.],0.9906250238418579
2341,[2],[2. 2. 3. 0.],[1. 1. 0. 1.],0,[3. 0. 0. 2.],0.9999999403953552
2361,[2],[2. 0. 1. 1.],[1. 1. 1. 1.],2,[2. 0. 2. 2.],0.9687639474868774
2552,[2],[2. 3. 3. 3.],[1. 1. 1. 1.],1,[0. 3. 0. 0.],0.990537703037262
2531,[2],[2. 3. 1. 3.],[1. 1. 1. 1.],0,[1. 2. 2. 1.],0.9999838471412659
2524,[2],[2. 1. 0. 2.],[1. 0. 1. 1.],0,[0. 1. 1. 1.],0.9937493205070496
2514,[2],[2. 1. 2. 3.],[1. 1. 1. 1.],1,[3. 0. 3. 3.],0.9937499761581421
2510,[2],[2. 0. 3. 0.],[1. 1. 1. 1.],0,[1. 1. 0. 2.],0.9780049920082092
2488,[2],[2. 0. 2. 1.],[1. 0. 1. 1.],2,[0. 3. 2. 1.],0.9874976873397827
2486,[2],[2. 1. 3. 2.],[1. 1. 1. 1.],1,[1. 2. 2. 2.],0.9859689474105835
2481,[2],[2. 3. 0. 0.],[1. 1. 1. 1.],2,[0. 3. 0. 1.],0.9874385595321655
2472,[2],[2. 2. 0. 1.],[1. 1. 1. 1.],0,[3. 1. 2. 3.],0.9999982714653015
2468,[2],[2. 3. 3. 2.],[1. 0. 1. 1.],0,[0. 2. 1. 1.],0.9999338984489441
2455,[2],[2. 3. 3. 1.],[1. 1. 1. 0.],0,[3. 2. 0. 2.],0.9839057326316833
2454,[2],[2. 1. 1. 3.],[1. 1. 0. 0.],0,[1. 2. 1. 2.],0.9843666553497314
2437,[2],[2. 3. 1. 1.],[1. 0. 1. 0.],0,[1. 2. 3. 2.],0.999996542930603
2434,[2],[2. 3. 1. 1.],[1. 0. 1. 0.],0,[3. 3. 0. 1.],0.9999980926513672
2426,[2],[2. 1. 2. 3.],[1. 1. 1. 1.],1,[3. 1. 3. 1.],0.9624999165534973
2422,[2],[2. 3. 2. 2.],[1. 1. 1. 1.],0,[1. 0. 1. 0.],0.9624999761581421
2420,[2],[2. 0. 3. 0.],[1. 1. 1. 1.],2,[3. 0. 3. 1.],0.9624994993209839
2416,[2],[2. 0. 2. 1.],[1. 1. 1. 1.],1,[3. 3. 2. 3.],0.9624607563018799
2409,[2],[2. 0. 3. 3.],[1. 1. 1. 1.],0,[1. 2. 2. 1.],0.9999982118606567
2394,[2],[2. 3. 0. 0.],[1. 1. 1. 1.],3,[3. 3. 0. 0.],0.9624994993209839
2391,[2],[2. 2. 2. 1.],[1. 0. 1. 1.],0,[3. 2. 0. 2.],0.9629644751548767
2383,[2],[2. 3. 2. 0.],[1. 1. 1. 0.],0,[3. 0. 0. 2.],0.9812469482421875
2380,[2],[2. 2. 1. 2.],[1. 1. 1. 1.],3,[1. 2. 1. 2.],0.9812499284744263
2375,[2],[2. 0. 0. 2.],[1. 1. 1. 1.],1,[3. 2. 2. 2.],0.9812486171722412
2374,[2],[2. 3. 0. 2.],[1. 1. 0. 0.],0,[1. 0. 3. 0.],0.9812479615211487
2373,[2],[2. 1. 3. 3.],[1. 1. 0. 0.],0,[1. 0. 0. 1.],0.9812023043632507
2370,[2],[2. 2. 1. 3.],[1. 1. 0. 1.],2,[3. 2. 0. 3.],0.9812495708465576
2366,[2],[2. 2. 3. 1.],[1. 1. 1. 0.],0,[0. 3. 1. 1.],0.9687500596046448
2365,[2],[2. 3. 3. 1.],[1. 0. 1. 1.],1,[3. 0. 3. 0.],0.9687391519546509
2357,[2],[2. 1. 1. 2.],[1. 1. 0. 1.],0,[1. 0. 1. 0.],0.9687492847442627
2562,[2],[2. 0. 0. 3.],[1. 0. 0. 0.],0,[0. 2. 2. 3.],0.9687491059303284
2137,[2],[2. 1. 1. 0.],[1. 1. 1. 0.],1,[1. 1. 2. 3.],0.9906247854232788
2097,[2],[2. 2. 2. 0.],[1. 1. 1. 0.],1,[3. 2. 3. 0.],0.9648180603981018
1826,[2],[2. 1. 1. 3.],[1. 0. 0. 1.],1,[3. 3. 1. 3.],0.9999995827674866
1814,[2],[2. 0. 0. 3.],[1. 1. 0. 1.],2,[0. 0. 2. 3.],0.9874992370605469
1813,[2],[2. 2. 3. 1.],[1. 1. 0. 1.],2,[0. 2. 3. 1.],0.9874999523162842
