game_nr,target,fixed indices,context condition,distractor,message,accuracy
920,[2. 2. 3. 3.],[1. 1. 1. 1.],0,[3. 3. 0. 1.],"[2, 1, 1]",1.0
921,[2. 2. 3. 3.],[1. 1. 1. 1.],3,[2. 2. 2. 3.],"[1, 1, 1]",1.0
922,[2. 2. 3. 3.],[1. 1. 1. 1.],2,[2. 3. 3. 0.],"[4, 4, 4]",1.0
923,[2. 2. 3. 3.],[1. 1. 1. 1.],1,[2. 1. 1. 0.],"[1, 1, 1]",1.0
924,[2. 2. 3. 3.],[1. 1. 1. 1.],0,[1. 3. 2. 0.],"[2, 1, 1, 2]",1.0
925,[2. 2. 3. 3.],[1. 1. 1. 1.],2,[0. 2. 0. 3.],"[2, 1, 1, 2]",1.0
926,[2. 2. 3. 3.],[1. 1. 1. 1.],0,[3. 0. 2. 1.],"[2, 1, 2, 1]",1.0
927,[2. 2. 3. 3.],[1. 1. 1. 1.],2,[0. 1. 3. 3.],"[4, 4, 4]",1.0
928,[2. 2. 3. 3.],[1. 1. 1. 1.],1,[1. 2. 1. 0.],"[2, 1, 2, 1]",1.0
929,[2. 2. 3. 3.],[1. 1. 1. 1.],3,[2. 0. 3. 3.],"[4, 4, 4]",1.0
