game_nr,message,targets,fixed indices,context condition,distractors,accuracy
642,"[2, 2, 2]",[2. 2. 2. 3.],[1. 1. 1. 1.],1,[2. 1. 3. 0.],0.9999999403953552
741,"[2, 2, 2]",[0. 3. 3. 3.],[1. 1. 1. 1.],1,[0. 1. 2. 1.],0.9999999403953552
1713,"[2, 2, 2]",[3. 1. 0. 3.],[1. 0. 1. 1.],0,[1. 0. 1. 0.],0.9980859756469727
2100,"[2, 2, 2]",[3. 2. 2. 3.],[1. 1. 1. 1.],0,[2. 1. 3. 1.],0.999975323677063
2097,"[2, 2, 2]",[2. 3. 2. 3.],[1. 1. 1. 1.],0,[0. 1. 0. 2.],1.0000001192092896
2075,"[2, 2, 2]",[2. 3. 2. 3.],[1. 1. 0. 1.],0,[3. 0. 0. 2.],0.9999999403953552
2229,"[2, 2, 2]",[0. 2. 0. 3.],[0. 1. 1. 1.],0,[2. 1. 3. 1.],0.9999434351921082
3536,"[2, 2, 2]",[2. 3. 3. 3.],[0. 1. 1. 1.],1,[0. 3. 2. 0.],0.9999977350234985
1057,"[2, 2, 2]",[3. 2. 2. 3.],[1. 1. 1. 1.],0,[2. 0. 0. 1.],0.9999844431877136
1358,"[2, 2, 2]",[2. 1. 0. 3.],[1. 1. 0. 1.],2,[2. 1. 2. 1.],0.999999463558197
3720,"[2, 2, 2]",[3. 2. 2. 3.],[0. 1. 1. 1.],0,[3. 0. 0. 2.],0.9999999403953552
2771,"[2, 2, 2]",[2. 2. 2. 3.],[1. 1. 1. 1.],1,[2. 1. 3. 0.],0.9999098181724548
2756,"[2, 2, 2]",[1. 3. 3. 3.],[0. 1. 1. 1.],1,[3. 3. 1. 0.],0.9999997615814209
1976,"[2, 2, 2]",[3. 2. 1. 3.],[1. 1. 0. 1.],0,[0. 3. 1. 0.],0.9999994039535522
1913,"[2, 2, 2]",[2. 3. 2. 3.],[1. 1. 1. 1.],0,[3. 2. 3. 2.],1.0
1029,"[4, 2]",[2. 2. 0. 1.],[1. 1. 0. 1.],1,[1. 2. 1. 0.],0.9999979734420776
683,"[4, 2]",[2. 1. 0. 1.],[1. 1. 1. 1.],1,[1. 0. 0. 0.],0.9999707341194153
1438,"[4, 2]",[2. 0. 2. 1.],[1. 1. 1. 1.],1,[3. 3. 2. 3.],0.9999914169311523
1245,"[4, 2]",[2. 2. 0. 1.],[1. 0. 0. 1.],0,[3. 1. 1. 2.],0.9999570846557617
2751,"[4, 2]",[2. 3. 1. 1.],[1. 0. 0. 1.],0,[0. 3. 0. 2.],0.9998917579650879
3011,"[4, 2]",[2. 0. 1. 1.],[1. 1. 1. 1.],0,[1. 1. 3. 2.],0.9999275207519531
2990,"[4, 2]",[2. 2. 2. 2.],[1. 1. 1. 0.],1,[3. 1. 2. 2.],0.999999463558197
910,"[4, 2]",[2. 0. 2. 1.],[1. 1. 1. 1.],1,[1. 0. 0. 0.],0.999991774559021
1363,"[4, 2]",[2. 2. 3. 1.],[1. 1. 1. 1.],0,[1. 0. 2. 2.],0.9998465776443481
2858,"[4, 2]",[2. 0. 3. 1.],[1. 1. 1. 1.],0,[1. 2. 0. 3.],0.9717477560043335
2820,"[4, 2]",[1. 2. 3. 3.],[1. 1. 1. 1.],1,[1. 1. 0. 1.],0.9964738488197327
2436,"[4, 2]",[2. 2. 3. 1.],[1. 0. 0. 1.],0,[3. 1. 3. 2.],0.9999896883964539
1598,"[4, 2]",[2. 2. 0. 2.],[1. 1. 1. 1.],0,[0. 0. 2. 3.],0.9978368282318115
1272,"[4, 2]",[2. 2. 2. 0.],[1. 1. 1. 0.],0,[3. 3. 1. 2.],0.9999894499778748
3473,"[4, 2]",[2. 0. 3. 1.],[1. 1. 1. 1.],0,[1. 3. 1. 2.],0.9996638298034668
345,"[4, 2]",[2. 1. 2. 1.],[1. 1. 1. 1.],1,[0. 3. 2. 0.],0.9997679591178894
3447,"[4, 2]",[2. 1. 2. 1.],[1. 1. 1. 1.],1,[0. 2. 2. 0.],0.9999956488609314
3442,"[4, 2]",[2. 1. 2. 1.],[1. 1. 1. 1.],0,[3. 2. 1. 2.],0.9999992847442627
1806,"[4, 2]",[2. 1. 0. 1.],[1. 1. 1. 1.],2,[1. 1. 0. 0.],0.9968996047973633
408,"[4, 2]",[2. 2. 0. 1.],[1. 1. 1. 1.],2,[3. 2. 0. 2.],0.999993622303009
2071,"[4, 3]",[2. 2. 0. 3.],[1. 1. 1. 1.],2,[2. 3. 1. 3.],0.9998831152915955
2533,"[4, 3]",[1. 2. 1. 0.],[1. 1. 1. 0.],0,[2. 3. 3. 3.],0.9999935030937195
2043,"[4, 3]",[1. 0. 3. 2.],[1. 1. 1. 0.],2,[2. 0. 3. 3.],0.9870976805686951
2567,"[4, 3]",[3. 2. 1. 2.],[1. 1. 1. 1.],2,[3. 0. 2. 2.],0.9999990463256836
2600,"[4, 3]",[2. 2. 2. 3.],[1. 1. 1. 1.],3,[2. 1. 2. 3.],0.9999994039535522
2021,"[4, 3]",[2. 2. 2. 3.],[1. 1. 0. 1.],1,[1. 0. 2. 3.],0.9655664563179016
2139,"[4, 3]",[1. 2. 0. 1.],[1. 1. 1. 0.],1,[2. 0. 0. 0.],0.9999997019767761
2078,"[4, 3]",[1. 2. 3. 0.],[0. 1. 1. 1.],1,[1. 1. 1. 0.],0.9999994039535522
2004,"[4, 3]",[3. 2. 3. 2.],[0. 1. 1. 1.],2,[2. 0. 3. 2.],0.9999768733978271
1992,"[4, 3]",[0. 2. 1. 2.],[1. 1. 1. 0.],2,[0. 1. 1. 3.],0.9906246066093445
2611,"[4, 3]",[1. 2. 3. 3.],[1. 1. 1. 1.],2,[3. 1. 3. 3.],0.9999988675117493
1988,"[4, 3]",[2. 2. 1. 3.],[1. 1. 1. 1.],3,[2. 0. 1. 3.],0.9906201958656311
2634,"[4, 3]",[2. 2. 0. 3.],[1. 1. 1. 1.],2,[3. 0. 0. 3.],0.9968916177749634
1979,"[4, 3]",[2. 2. 0. 3.],[0. 1. 1. 1.],2,[1. 0. 0. 3.],0.9999945759773254
1973,"[4, 3]",[2. 2. 3. 0.],[1. 1. 0. 1.],2,[2. 0. 2. 0.],0.9999840259552002
2657,"[4, 3]",[1. 2. 3. 0.],[0. 1. 1. 1.],0,[0. 0. 0. 1.],0.9472607970237732
2603,"[4, 3]",[3. 2. 0. 0.],[1. 1. 1. 1.],2,[1. 1. 0. 0.],0.9999911785125732
2014,"[4, 3]",[1. 2. 0. 2.],[1. 1. 1. 1.],0,[3. 0. 1. 3.],0.9999992251396179
2512,"[4, 3]",[3. 2. 1. 0.],[1. 1. 0. 1.],2,[3. 0. 1. 0.],0.9999999403953552
2124,"[4, 3]",[1. 2. 2. 0.],[1. 1. 1. 1.],0,[0. 0. 3. 3.],0.9999998807907104
2118,"[4, 3]",[1. 2. 2. 0.],[1. 1. 0. 1.],2,[1. 3. 3. 0.],0.9999995827674866
2186,"[4, 3]",[1. 0. 0. 1.],[1. 1. 1. 1.],2,[2. 0. 3. 1.],0.9874997735023499
2116,"[4, 3]",[1. 2. 3. 0.],[1. 1. 1. 1.],0,[0. 1. 1. 1.],0.999997615814209
2253,"[4, 3]",[2. 2. 1. 0.],[1. 1. 0. 1.],0,[3. 3. 3. 3.],0.9999995827674866
2282,"[4, 3]",[2. 2. 2. 3.],[1. 1. 1. 0.],1,[2. 0. 1. 1.],0.9999756217002869
2284,"[4, 3]",[1. 2. 1. 0.],[1. 1. 1. 0.],1,[0. 0. 1. 1.],0.9999969005584717
2699,"[4, 3]",[3. 2. 3. 2.],[0. 1. 1. 1.],1,[3. 0. 1. 2.],0.9999817609786987
2296,"[4, 3]",[2. 2. 1. 0.],[1. 1. 0. 1.],0,[1. 1. 2. 3.],0.9999616146087646
2328,"[4, 3]",[1. 2. 3. 2.],[0. 1. 1. 1.],1,[3. 3. 3. 3.],0.9999776482582092
2343,"[4, 3]",[1. 2. 1. 0.],[1. 1. 1. 1.],0,[3. 3. 2. 2.],0.9970158338546753
2390,"[4, 3]",[3. 2. 0. 0.],[0. 1. 1. 1.],1,[2. 0. 1. 0.],0.9996105432510376
2113,"[4, 3]",[1. 2. 0. 3.],[0. 1. 1. 0.],1,[1. 0. 0. 1.],0.9999976754188538
2391,"[4, 3]",[2. 2. 1. 2.],[1. 1. 1. 1.],3,[2. 3. 1. 2.],0.9999789595603943
2407,"[4, 3]",[2. 3. 3. 2.],[1. 1. 1. 1.],3,[2. 3. 3. 0.],0.9656839966773987
2111,"[4, 3]",[1. 2. 1. 1.],[1. 1. 1. 0.],0,[3. 1. 3. 0.],0.9999866485595703
2457,"[4, 3]",[2. 2. 2. 0.],[0. 1. 1. 1.],2,[0. 0. 2. 0.],0.9999997615814209
2472,"[4, 3]",[2. 2. 1. 0.],[0. 1. 1. 1.],0,[3. 1. 0. 2.],0.9687550067901611
2519,"[4, 3]",[2. 2. 3. 0.],[1. 1. 1. 1.],0,[1. 0. 0. 2.],0.9997652769088745
26,"[4, 3]",[2. 2. 3. 1.],[1. 1. 1. 0.],0,[0. 3. 1. 1.],0.9999880790710449
2823,"[4, 3]",[3. 2. 2. 0.],[0. 1. 0. 1.],0,[1. 0. 3. 3.],0.9968736171722412
2713,"[4, 3]",[0. 2. 0. 3.],[1. 1. 0. 0.],1,[0. 0. 3. 2.],0.9999998807907104
3269,"[4, 3]",[0. 2. 1. 3.],[1. 1. 1. 1.],3,[0. 0. 1. 3.],0.9999898672103882
3274,"[4, 3]",[2. 2. 3. 0.],[0. 1. 1. 1.],0,[2. 0. 2. 3.],0.9996206164360046
3278,"[4, 3]",[0. 2. 3. 0.],[0. 1. 1. 1.],2,[3. 3. 3. 0.],0.999999463558197
3311,"[4, 3]",[1. 2. 2. 1.],[1. 1. 1. 0.],0,[3. 1. 1. 0.],0.9968826770782471
3318,"[4, 3]",[3. 2. 0. 1.],[1. 1. 0. 1.],2,[3. 3. 3. 1.],0.9999998211860657
