game_nr,message,targets,fixed indices,context condition,distractors,accuracy
17,"[2, 1]",[3. 3. 2. 2.],[1. 1. 1. 0.],0,[1. 1. 1. 3.],0.9966498017311096
2079,"[2, 1]",[3. 1. 1. 0.],[1. 0. 1. 1.],0,[2. 1. 2. 3.],0.9990658760070801
2102,"[2, 1]",[3. 3. 2. 1.],[1. 0. 1. 0.],0,[2. 2. 1. 0.],0.998720109462738
2142,"[2, 1]",[3. 0. 1. 0.],[1. 1. 1. 1.],1,[2. 0. 2. 1.],0.9999899864196777
2159,"[2, 1]",[3. 0. 3. 3.],[1. 1. 0. 1.],0,[0. 1. 3. 2.],0.9998372793197632
2195,"[2, 1]",[3. 1. 1. 3.],[1. 1. 1. 1.],0,[2. 3. 3. 1.],0.9999780058860779
2242,"[2, 1]",[3. 3. 0. 2.],[1. 1. 1. 1.],3,[2. 3. 0. 2.],0.991330087184906
2059,"[2, 1]",[3. 3. 2. 2.],[1. 0. 1. 1.],0,[0. 2. 1. 1.],0.9988579750061035
2286,"[2, 1]",[3. 0. 2. 3.],[1. 1. 1. 1.],3,[1. 0. 2. 3.],0.9999711513519287
2388,"[2, 1]",[3. 0. 1. 0.],[1. 1. 1. 1.],0,[0. 1. 3. 1.],0.9787570834159851
2392,"[2, 1]",[3. 2. 3. 3.],[1. 1. 1. 1.],1,[0. 2. 0. 0.],0.9813452363014221
2394,"[2, 1]",[3. 2. 1. 3.],[1. 1. 1. 1.],0,[0. 0. 3. 2.],0.9858167171478271
2486,"[2, 1]",[2. 3. 1. 2.],[1. 1. 1. 1.],1,[2. 0. 3. 0.],0.9983843564987183
2487,"[2, 1]",[3. 1. 1. 1.],[1. 0. 1. 0.],0,[0. 1. 2. 1.],0.9982033371925354
2503,"[2, 1]",[3. 3. 0. 2.],[1. 1. 0. 1.],0,[2. 1. 3. 0.],0.990933895111084
2307,"[2, 1]",[3. 0. 3. 3.],[1. 1. 1. 1.],2,[2. 0. 3. 1.],0.999498188495636
2507,"[2, 1]",[3. 0. 0. 3.],[1. 1. 1. 1.],1,[2. 2. 0. 1.],0.9910063147544861
2038,"[2, 1]",[3. 3. 2. 2.],[1. 1. 1. 1.],2,[2. 3. 0. 2.],0.9762018918991089
1842,"[2, 1]",[3. 3. 2. 2.],[1. 1. 1. 1.],1,[1. 2. 2. 1.],0.9884978532791138
1379,"[2, 1]",[3. 1. 1. 2.],[1. 1. 1. 1.],0,[2. 2. 0. 3.],1.0
1433,"[2, 1]",[3. 3. 1. 2.],[1. 1. 0. 0.],0,[1. 1. 0. 2.],0.9998837113380432
1459,"[2, 1]",[3. 3. 1. 1.],[1. 1. 1. 1.],2,[1. 3. 3. 1.],0.9314064979553223
1460,"[2, 1]",[3. 0. 1. 3.],[1. 1. 1. 1.],2,[0. 0. 0. 3.],0.9441052079200745
1558,"[2, 1]",[3. 2. 1. 3.],[1. 1. 1. 1.],1,[0. 2. 2. 0.],0.999999463558197
1562,"[2, 1]",[3. 2. 1. 2.],[1. 0. 1. 1.],0,[2. 1. 0. 1.],0.9993736743927002
1896,"[2, 1]",[3. 3. 1. 1.],[1. 1. 1. 1.],0,[2. 2. 3. 0.],0.9999943375587463
1572,"[2, 1]",[3. 1. 1. 1.],[1. 1. 1. 1.],2,[2. 1. 3. 1.],0.9968535304069519
1622,"[2, 1]",[3. 1. 1. 1.],[1. 1. 1. 1.],0,[1. 0. 2. 3.],0.9999992251396179
1651,"[2, 1]",[3. 0. 0. 3.],[1. 1. 1. 0.],1,[1. 1. 0. 3.],0.9881693124771118
1723,"[2, 1]",[3. 0. 1. 2.],[1. 1. 1. 1.],0,[1. 2. 2. 3.],0.9973785281181335
3679,"[2, 1]",[3. 0. 1. 0.],[1. 1. 1. 1.],0,[2. 3. 3. 2.],0.999943196773529
1782,"[2, 1]",[3. 1. 1. 0.],[1. 1. 1. 1.],0,[1. 3. 2. 1.],0.9905656576156616
1793,"[2, 1]",[3. 3. 1. 3.],[1. 1. 0. 1.],0,[2. 0. 2. 2.],0.9841106534004211
1587,"[2, 1]",[3. 3. 0. 3.],[1. 1. 1. 1.],3,[2. 3. 0. 3.],0.999606192111969
2547,"[2, 1]",[3. 1. 3. 2.],[1. 0. 0. 1.],0,[2. 0. 3. 0.],0.9996095895767212
