game_nr,message,targets,fixed indices,context condition,distractors,accuracy
2974,"[1, 2, 3, 3, 3, 3]",[0. 2. 0. 3.],[1. 1. 0. 0.],1,[0. 0. 3. 2.],0.9968754649162292
3485,"[1, 2, 3, 3, 3, 3]",[0. 2. 1. 2.],[1. 1. 1. 0.],2,[0. 1. 1. 3.],1.0
2019,"[1, 2, 3, 3, 3, 3]",[3. 2. 3. 2.],[0. 1. 0. 1.],0,[0. 0. 3. 1.],0.9999995827674866
3473,"[1, 2, 3, 3, 3, 3]",[0. 2. 2. 3.],[0. 1. 0. 0.],0,[3. 0. 1. 3.],0.9999991059303284
1496,"[1, 2, 3, 3, 3, 3]",[2. 2. 2. 2.],[0. 1. 0. 1.],0,[2. 3. 3. 1.],0.9999995827674866
2367,"[1, 2, 3, 3, 3, 3]",[0. 2. 1. 3.],[1. 1. 1. 1.],3,[0. 0. 1. 3.],1.0
2583,"[1, 2, 3, 3, 3, 3]",[0. 2. 1. 2.],[1. 1. 0. 1.],2,[0. 3. 1. 2.],0.9999995827674866
2418,"[1, 2, 3, 3, 3, 3]",[0. 2. 3. 3.],[0. 1. 0. 0.],0,[0. 0. 3. 3.],0.9999492168426514
3231,"[1, 2, 3, 3, 3, 3]",[2. 2. 1. 3.],[1. 1. 1. 0.],2,[2. 0. 1. 0.],0.999997615814209
2622,"[1, 2, 3, 3, 3, 3]",[2. 2. 2. 2.],[1. 1. 1. 1.],2,[2. 3. 3. 2.],0.9995405673980713
1738,"[1, 2, 3, 3, 3, 3]",[0. 2. 0. 1.],[1. 1. 0. 0.],1,[0. 0. 3. 1.],0.9999986290931702
1731,"[1, 2, 3, 3, 3, 3]",[3. 2. 1. 0.],[1. 1. 1. 1.],2,[3. 3. 1. 3.],0.9999615550041199
867,"[1, 2, 3, 3, 3, 3]",[0. 2. 2. 0.],[1. 1. 1. 1.],2,[0. 3. 2. 3.],1.0
2892,"[1, 2, 3, 3, 3, 3]",[2. 2. 1. 3.],[1. 1. 1. 1.],3,[2. 3. 1. 3.],0.9625027179718018
930,"[1, 2, 3, 3, 3, 3]",[0. 2. 0. 0.],[0. 1. 0. 1.],0,[1. 1. 1. 2.],0.9656239151954651
2552,"[1, 2, 3, 3, 3, 3]",[1. 2. 1. 3.],[0. 1. 1. 1.],2,[2. 1. 1. 3.],0.9999797940254211
2053,"[1, 2, 3, 3, 3, 3]",[3. 2. 0. 3.],[0. 1. 1. 1.],2,[0. 0. 0. 3.],0.9999274015426636
3568,"[1, 2, 3, 3, 3, 3]",[2. 2. 1. 2.],[0. 1. 0. 1.],1,[1. 0. 1. 2.],0.9999994039535522
2919,"[1, 2, 3, 3, 3, 3]",[3. 2. 1. 2.],[0. 1. 0. 1.],0,[1. 3. 2. 0.],1.0
3583,"[1, 2, 3, 3, 3, 3]",[3. 2. 0. 0.],[0. 1. 0. 0.],0,[3. 0. 0. 1.],0.9999939203262329
