condition,rsa,dataset,run,fixed,ml
context_unaware,test,"(3,16)",2,2,4.0
context_unaware,test,"(3,16)",2,3,
context_unaware,test,"(3,16)",2,4,
context_unaware,rsa,"(3,16)",2,0,
context_unaware,rsa,"(3,16)",2,1,3.633
context_unaware,rsa,"(3,16)",2,2,3.843
context_unaware,rsa,"(3,16)",2,3,
context_unaware,rsa,"(3,16)",2,4,
context_unaware,test,"(3,16)",3,0,
context_unaware,test,"(3,16)",3,1,8.533
context_unaware,test,"(3,16)",3,2,9.0
context_unaware,test,"(3,16)",3,3,
context_unaware,test,"(3,16)",3,4,
context_unaware,rsa,"(3,16)",3,0,
context_unaware,rsa,"(3,16)",3,1,6.333
context_unaware,rsa,"(3,16)",3,2,6.429
context_unaware,rsa,"(3,16)",3,3,
context_unaware,rsa,"(3,16)",3,4,
context_unaware,test,"(3,16)",4,0,
context_unaware,test,"(3,16)",4,1,2.833
context_unaware,test,"(3,16)",4,2,2.857
context_unaware,test,"(3,16)",4,3,
context_unaware,test,"(3,16)",4,4,
context_unaware,rsa,"(3,16)",4,0,
context_unaware,rsa,"(3,16)",4,1,2.567
context_unaware,rsa,"(3,16)",4,2,2.486
context_unaware,rsa,"(3,16)",4,3,
context_unaware,rsa,"(3,16)",4,4,
context_unaware,test,"(4,4)",0,0,7.46
context_unaware,test,"(4,4)",0,1,6.465
context_unaware,test,"(4,4)",0,2,7.23
context_unaware,test,"(4,4)",0,3,6.673
context_unaware,test,"(4,4)",0,4,
context_unaware,rsa,"(4,4)",0,0,4.42
context_unaware,rsa,"(4,4)",0,1,4.365
context_unaware,rsa,"(4,4)",0,2,4.906
context_unaware,rsa,"(4,4)",0,3,4.876
context_unaware,rsa,"(4,4)",0,4,
context_unaware,test,"(4,4)",1,0,5.34
context_unaware,test,"(4,4)",1,1,7.265
context_unaware,test,"(4,4)",1,2,8.191
context_unaware,test,"(4,4)",1,3,9.0
context_unaware,test,"(4,4)",1,4,
context_unaware,rsa,"(4,4)",1,0,3.68
context_unaware,rsa,"(4,4)",1,1,4.782
context_unaware,rsa,"(4,4)",1,2,4.713
context_unaware,rsa,"(4,4)",1,3,5.145
context_unaware,rsa,"(4,4)",1,4,
context_unaware,test,"(4,4)",2,0,10.16
context_unaware,test,"(4,4)",2,1,10.776
context_unaware,test,"(4,4)",2,2,11.083
context_unaware,test,"(4,4)",2,3,12.367
context_unaware,test,"(4,4)",2,4,
context_unaware,rsa,"(4,4)",2,0,5.98
context_unaware,rsa,"(4,4)",2,1,6.112
context_unaware,rsa,"(4,4)",2,2,6.087
context_unaware,rsa,"(4,4)",2,3,6.724
context_unaware,rsa,"(4,4)",2,4,
context_unaware,test,"(4,4)",3,0,14.62
context_unaware,test,"(4,4)",3,1,13.865
context_unaware,test,"(4,4)",3,2,14.798
context_unaware,test,"(4,4)",3,3,14.224
context_unaware,test,"(4,4)",3,4,
context_unaware,rsa,"(4,4)",3,0,7.0
context_unaware,rsa,"(4,4)",3,1,6.982
context_unaware,rsa,"(4,4)",3,2,7.154
context_unaware,rsa,"(4,4)",3,3,7.141
context_unaware,rsa,"(4,4)",3,4,
context_unaware,test,"(4,4)",4,0,18.38
context_unaware,test,"(4,4)",4,1,16.494
context_unaware,test,"(4,4)",4,2,16.685
context_unaware,test,"(4,4)",4,3,15.755
context_unaware,test,"(4,4)",4,4,
context_unaware,rsa,"(4,4)",4,0,8.04
context_unaware,rsa,"(4,4)",4,1,7.776
context_unaware,rsa,"(4,4)",4,2,7.744
context_unaware,rsa,"(4,4)",4,3,8.214
context_unaware,rsa,"(4,4)",4,4,
context_unaware,test,"(4,8)",0,0,
context_unaware,test,"(4,8)",0,1,20.0
context_unaware,test,"(4,8)",0,2,20.0
context_unaware,test,"(4,8)",0,3,20.0
context_unaware,test,"(4,8)",0,4,
context_unaware,rsa,"(4,8)",0,0,
context_unaware,rsa,"(4,8)",0,1,20.0
context_unaware,rsa,"(4,8)",0,2,20.0
context_unaware,rsa,"(4,8)",0,3,20.0
context_unaware,rsa,"(4,8)",0,4,
context_unaware,test,"(4,8)",1,0,
context_unaware,test,"(4,8)",1,1,12.0
context_unaware,test,"(4,8)",1,2,12.26
context_unaware,test,"(4,8)",1,3,14.25
context_unaware,test,"(4,8)",1,4,
context_unaware,rsa,"(4,8)",1,0,
context_unaware,rsa,"(4,8)",1,1,8.7
context_unaware,rsa,"(4,8)",1,2,8.76
context_unaware,rsa,"(4,8)",1,3,8.825
context_unaware,rsa,"(4,8)",1,4,
context_unaware,test,"(4,8)",2,0,
context_unaware,test,"(4,8)",2,1,6.0
context_unaware,test,"(4,8)",2,2,4.6
context_unaware,test,"(4,8)",2,3,6.0
context_unaware,test,"(4,8)",2,4,
context_unaware,rsa,"(4,8)",2,0,
context_unaware,rsa,"(4,8)",2,1,4.9
context_unaware,rsa,"(4,8)",2,2,4.42
context_unaware,rsa,"(4,8)",2,3,5.025
context_unaware,rsa,"(4,8)",2,4,
context_unaware,test,"(4,8)",3,0,
context_unaware,test,"(4,8)",3,1,20.0
context_unaware,test,"(4,8)",3,2,20.0
context_unaware,test,"(4,8)",3,3,20.0
context_unaware,test,"(4,8)",3,4,
context_unaware,rsa,"(4,8)",3,0,
context_unaware,rsa,"(4,8)",3,1,20.0
context_unaware,rsa,"(4,8)",3,2,20.0
context_unaware,rsa,"(4,8)",3,3,20.0
context_unaware,rsa,"(4,8)",3,4,
context_unaware,test,"(4,8)",4,0,
context_unaware,test,"(4,8)",4,1,20.0
context_unaware,test,"(4,8)",4,2,20.0
context_unaware,test,"(4,8)",4,3,20.0
context_unaware,test,"(4,8)",4,4,
context_unaware,rsa,"(4,8)",4,0,
context_unaware,rsa,"(4,8)",4,1,20.0
context_unaware,rsa,"(4,8)",4,2,20.0
context_unaware,rsa,"(4,8)",4,3,20.0
context_unaware,rsa,"(4,8)",4,4,
context_unaware,test,"(5,4)",0,0,
context_unaware,test,"(5,4)",0,1,
context_unaware,test,"(5,4)",0,2,16.275
context_unaware,test,"(5,4)",0,3,15.15
context_unaware,test,"(5,4)",0,4,15.75
context_unaware,rsa,"(5,4)",0,0,
context_unaware,rsa,"(5,4)",0,1,
context_unaware,rsa,"(5,4)",0,2,11.35
context_unaware,rsa,"(5,4)",0,3,12.3
context_unaware,rsa,"(5,4)",0,4,12.075
context_unaware,test,"(5,4)",1,0,
context_unaware,test,"(5,4)",1,1,
context_unaware,test,"(5,4)",1,2,20.0
context_unaware,test,"(5,4)",1,3,20.0
context_unaware,test,"(5,4)",1,4,20.0
context_unaware,rsa,"(5,4)",1,0,
context_unaware,rsa,"(5,4)",1,1,
context_unaware,rsa,"(5,4)",1,2,6.925
context_unaware,rsa,"(5,4)",1,3,7.4
context_unaware,rsa,"(5,4)",1,4,8.375
context_unaware,test,"(5,4)",2,0,
context_unaware,test,"(5,4)",2,1,
context_unaware,test,"(5,4)",2,2,16.975
context_unaware,test,"(5,4)",2,3,15.6
context_unaware,test,"(5,4)",2,4,13.5
context_unaware,rsa,"(5,4)",2,0,
context_unaware,rsa,"(5,4)",2,1,
context_unaware,rsa,"(5,4)",2,2,6.225
context_unaware,rsa,"(5,4)",2,3,7.0
context_unaware,rsa,"(5,4)",2,4,8.25
context_unaware,test,"(5,4)",3,0,
context_unaware,test,"(5,4)",3,1,
context_unaware,test,"(5,4)",3,2,20.0
context_unaware,test,"(5,4)",3,3,19.9
context_unaware,test,"(5,4)",3,4,20.0
context_unaware,rsa,"(5,4)",3,0,
context_unaware,rsa,"(5,4)",3,1,
context_unaware,rsa,"(5,4)",3,2,12.575
context_unaware,rsa,"(5,4)",3,3,11.75
context_unaware,rsa,"(5,4)",3,4,12.725
context_unaware,test,"(5,4)",4,0,
context_unaware,test,"(5,4)",4,1,
context_unaware,test,"(5,4)",4,2,18.6
context_unaware,test,"(5,4)",4,3,18.3
context_unaware,test,"(5,4)",4,4,19.75
context_unaware,rsa,"(5,4)",4,0,
context_unaware,rsa,"(5,4)",4,1,
context_unaware,rsa,"(5,4)",4,2,8.575
context_unaware,rsa,"(5,4)",4,3,9.55
context_unaware,rsa,"(5,4)",4,4,9.35
context_aware,test,"(3,4)",0,0,2.5
context_aware,test,"(3,4)",0,1,3.414
context_aware,test,"(3,4)",0,2,2.5
context_aware,test,"(3,4)",0,3,
context_aware,test,"(3,4)",0,4,
context_aware,rsa,"(3,4)",0,0,1.7
context_aware,rsa,"(3,4)",0,1,2.257
context_aware,rsa,"(3,4)",0,2,1.819
context_aware,rsa,"(3,4)",0,3,
context_aware,rsa,"(3,4)",0,4,
context_aware,test,"(3,4)",1,0,3.15
context_aware,test,"(3,4)",1,1,3.229
context_aware,test,"(3,4)",1,2,3.237
context_aware,test,"(3,4)",1,3,
context_aware,test,"(3,4)",1,4,
context_aware,rsa,"(3,4)",1,0,3.0
context_aware,rsa,"(3,4)",1,1,2.971
context_aware,rsa,"(3,4)",1,2,2.756
context_aware,rsa,"(3,4)",1,3,
context_aware,rsa,"(3,4)",1,4,
context_aware,test,"(3,4)",2,0,7.1
context_aware,test,"(3,4)",2,1,4.0
context_aware,test,"(3,4)",2,2,3.881
context_aware,test,"(3,4)",2,3,
context_aware,test,"(3,4)",2,4,
context_aware,rsa,"(3,4)",2,0,3.5
context_aware,rsa,"(3,4)",2,1,1.986
context_aware,rsa,"(3,4)",2,2,2.25
context_aware,rsa,"(3,4)",2,3,
context_aware,rsa,"(3,4)",2,4,
context_aware,test,"(3,4)",3,0,1.05
context_aware,test,"(3,4)",3,1,3.614
context_aware,test,"(3,4)",3,2,2.325
context_aware,test,"(3,4)",3,3,
context_aware,test,"(3,4)",3,4,
context_aware,rsa,"(3,4)",3,0,1.0
context_aware,rsa,"(3,4)",3,1,2.4
context_aware,rsa,"(3,4)",3,2,1.875
context_aware,rsa,"(3,4)",3,3,
context_aware,rsa,"(3,4)",3,4,
context_aware,test,"(3,4)",4,0,4.55
context_aware,test,"(3,4)",4,1,2.7
context_aware,test,"(3,4)",4,2,2.156
context_aware,test,"(3,4)",4,3,
context_aware,test,"(3,4)",4,4,
context_aware,rsa,"(3,4)",4,0,3.5
context_aware,rsa,"(3,4)",4,1,2.171
context_aware,rsa,"(3,4)",4,2,1.8
context_aware,rsa,"(3,4)",4,3,
context_aware,rsa,"(3,4)",4,4,
context_aware,test,"(3,8)",0,0,3.4
context_aware,test,"(3,8)",0,1,3.393
context_aware,test,"(3,8)",0,2,3.26
context_aware,test,"(3,8)",0,3,
context_aware,test,"(3,8)",0,4,
context_aware,rsa,"(3,8)",0,0,2.967
context_aware,rsa,"(3,8)",0,1,2.652
context_aware,rsa,"(3,8)",0,2,2.648
context_aware,rsa,"(3,8)",0,3,
context_aware,rsa,"(3,8)",0,4,
context_aware,test,"(3,8)",1,0,4.067
context_aware,test,"(3,8)",1,1,2.976
context_aware,test,"(3,8)",1,2,2.761
context_aware,test,"(3,8)",1,3,
context_aware,test,"(3,8)",1,4,
context_aware,rsa,"(3,8)",1,0,3.2
context_aware,rsa,"(3,8)",1,1,2.648
context_aware,rsa,"(3,8)",1,2,2.514
context_aware,rsa,"(3,8)",1,3,
context_aware,rsa,"(3,8)",1,4,
context_aware,test,"(3,8)",2,0,3.667
context_aware,test,"(3,8)",2,1,2.664
context_aware,test,"(3,8)",2,2,2.759
context_aware,test,"(3,8)",2,3,
context_aware,test,"(3,8)",2,4,
context_aware,rsa,"(3,8)",2,0,2.933
context_aware,rsa,"(3,8)",2,1,2.193
context_aware,rsa,"(3,8)",2,2,2.225
context_aware,rsa,"(3,8)",2,3,
context_aware,rsa,"(3,8)",2,4,
context_aware,test,"(3,8)",3,0,6.133
context_aware,test,"(3,8)",3,1,3.033
context_aware,test,"(3,8)",3,2,2.999
context_aware,test,"(3,8)",3,3,
context_aware,test,"(3,8)",3,4,
context_aware,rsa,"(3,8)",3,0,2.833
context_aware,rsa,"(3,8)",3,1,2.44
context_aware,rsa,"(3,8)",3,2,2.428
context_aware,rsa,"(3,8)",3,3,
context_aware,rsa,"(3,8)",3,4,
context_aware,test,"(3,8)",4,0,2.8
context_aware,test,"(3,8)",4,1,3.188
context_aware,test,"(3,8)",4,2,2.992
context_aware,test,"(3,8)",4,3,
context_aware,test,"(3,8)",4,4,
context_aware,rsa,"(3,8)",4,0,2.3
context_aware,rsa,"(3,8)",4,1,2.186
context_aware,rsa,"(3,8)",4,2,2.228
context_aware,rsa,"(3,8)",4,3,
context_aware,rsa,"(3,8)",4,4,
context_aware,test,"(3,16)",0,0,
context_aware,test,"(3,16)",0,1,2.933
context_aware,test,"(3,16)",0,2,3.186
context_aware,test,"(3,16)",0,3,
context_aware,test,"(3,16)",0,4,
context_aware,rsa,"(3,16)",0,0,
context_aware,rsa,"(3,16)",0,1,2.2
context_aware,rsa,"(3,16)",0,2,2.643
context_aware,rsa,"(3,16)",0,3,
